WordWeight;FamilyWeight;LanguageWeight;from_word;to_word
16;6;16;earth (soil);mud
27;14;26;earth (soil);dust
42;16;42;earth (soil);sand
9;3;9;earth (soil);ash
9;4;9;earth (soil);dirty
16;4;16;earth (soil);field
167;43;159;earth (soil);land
70;24;69;earth (soil);country
28;12;28;earth (soil);mainland
70;24;69;earth (soil);world
9;3;9;earth (soil);island
18;6;18;earth (soil);place (position)
5;3;5;earth (soil);plain
56;17;55;earth (soil);clay
61;33;58;earth (soil);floor
5;4;5;earth (soil);down or below
3;3;3;earth (soil);adobe
70;24;69;earth (soil);ground
8;4;8;earth (soil);area
3;3;3;earth (soil);raining or rain
98;21;94;dust;ash
3;3;3;dust;cloud
7;6;7;dust;sand
23;7;23;dust;smoke (exhaust)
24;5;24;dust;fog
5;4;5;dust;clay
7;6;6;dust;land
4;4;4;dust;mud
5;5;5;dust;flour
14;5;11;mud;dirty
3;3;3;mud;shore
69;25;64;mud;clay
3;3;3;mud;mortar binder
5;3;5;mud;adobe
13;12;12;mud;swamp
13;7;13;mountain or hill;top
10;7;10;mountain or hill;stone or rock
9;5;8;mountain or hill;precipice
71;7;63;precipice;stone or rock
6;5;6;precipice;reef
6;5;6;precipice;wall (of house)
5;3;5;precipice;edge
4;3;4;precipice;valley
5;4;5;plain;smooth
91;16;84;plain;field
4;4;4;plain;garden
24;11;24;plain;pasture
21;9;21;plain;flat
3;3;3;plain;floor
4;4;4;plain;land
20;5;19;plain;valley
3;3;3;valley;swamp
4;3;4;valley;river
46;21;46;cave;hole
5;3;5;cave;grave
4;4;4;cave;ditch
3;3;3;cave;nest
15;5;15;cave;lair
4;4;4;calm;be silent
47;10;42;calm;silence
12;7;12;calm;quiet
10;9;10;rough (of sea);wave
13;4;13;rough (of sea);rough
6;5;6;bay;lagoon
5;3;5;bay;port
3;3;3;bay;cape
55;33;50;lagoon;lake
4;3;4;lagoon;swamp
27;5;26;tide;high tide
16;3;16;tide;low tide
3;3;3;tide;wave
17;9;17;forest;tree
10;6;10;forest;mountain
18;5;18;forest;wood
4;4;4;forest;pasture
3;3;3;forest;plant (vegetation)
7;3;7;forest;thick
15;4;15;forest;grass
32;12;32;thunder;lightning
5;3;5;thunder;cloud
7;5;5;thunder;sky
18;10;17;thunder;bolt (of lightning)
3;3;3;thunder;sound or noise
16;6;16;thunder;thunder (verb)
23;15;23;light (radiation);day (not night)
49;19;48;light (radiation);bright
