WordWeight;FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
16;6;16;earth (soil);mud;0,75;0,225;0,614;0,333;0,26;0,185
27;14;26;earth (soil);dust;0,75;0,225;0,614;0,344;0,246;0,241
42;16;42;earth (soil);sand;0,75;0,225;0,614;0,582;0,279;0,304
9;3;9;earth (soil);ash;0,75;0,225;0,614;0,26;0,21;0,207
9;4;9;earth (soil);dirty;0,75;0,225;0,614;0,153;0,46;0,17
16;4;16;earth (soil);field;0,75;0,225;0,614;0,64;0,38;0,336
167;43;159;earth (soil);land;0,75;0,225;0,614;0,582;0,26;0,616
70;24;69;earth (soil);country;0,75;0,225;0,614;0,698;0,394;0,693
28;12;28;earth (soil);mainland;0,75;0,225;0,614;0,68;0,407;0,806
70;24;69;earth (soil);world;0,75;0,225;0,614;0,622;0,394;0,75
9;3;9;earth (soil);island;0,75;0,225;0,614;0,745;0,347;0,432
18;6;18;earth (soil);place (position);0,75;0,225;0,614;0,573;0,261;0,398
5;3;5;earth (soil);plain;0,75;0,225;0,614;0,5;0,167;0,311
56;17;55;earth (soil);clay;0,75;0,225;0,614;0,542;0,25;0,267
61;33;58;earth (soil);floor;0,75;0,225;0,614;0,43;0,23;0,25
5;4;5;earth (soil);down or below;0,75;0,225;0,614;0,208;0,33;0,264
3;3;3;earth (soil);adobe;0,75;0,225;0,614;0,5;0,319;0,328
70;24;69;earth (soil);ground;0,75;0,225;0,614;0,398;0,343;0,602
8;4;8;earth (soil);area;0,75;0,225;0,614;0,49;0,306;0,464
98;21;94;dust;ash;0,344;0,246;0,241;0,26;0,21;0,207
3;3;3;dust;cloud;0,344;0,246;0,241;0,74;0,133;0,342
7;6;7;dust;sand;0,344;0,246;0,241;0,582;0,279;0,304
23;7;23;dust;smoke (exhaust);0,344;0,246;0,241;0,188;0,5;0,391
24;5;24;dust;fog;0,344;0,246;0,241;0,51;0,213;0,26
5;4;5;dust;clay;0,344;0,246;0,241;0,542;0,25;0,267
7;6;6;dust;land;0,344;0,246;0,241;0,582;0,26;0,616
4;4;4;dust;mud;0,344;0,246;0,241;0,333;0,26;0,185
