WordWeight;FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
16;6;16;earth (soil);mud;6,83;5,04;5,69;5,06;3,19;4,27
27;14;26;earth (soil);dust;6,83;5,04;5,69;3,72;3,45;4,56
42;16;42;earth (soil);sand;6,83;5,04;5,69;6,16;3,43;4,82
9;4;9;earth (soil);dirty;6,83;5,04;5,69;3,17;5,05;5,05
16;4;16;earth (soil);field;6,83;5,04;5,69;5,73;3,84;5,74
167;43;159;earth (soil);land;6,83;5,04;5,69;6,61;3,05;5,94
70;24;69;earth (soil);country;6,83;5,04;5,69;6,14;3,71;6,35
28;12;28;earth (soil);mainland;6,83;5,04;5,69;5,3;3,67;5,71
70;24;69;earth (soil);world;6,83;5,04;5,69;6,46;4,55;5,12
9;3;9;earth (soil);island;6,83;5,04;5,69;7,18;4,25;5,58
18;6;18;earth (soil);place (position);6,83;5,04;5,69;5,86;3,52;6,53
5;3;5;earth (soil);plain;6,83;5,04;5,69;5,08;2,68;5,56
56;17;55;earth (soil);clay;6,83;5,04;5,69;5,45;3,84;5,64
61;33;58;earth (soil);floor;6,83;5,04;5,69;5,14;3,33;6,39
3;3;3;earth (soil);adobe;6,83;5,04;5,69;5,25;3,89;5,55
70;24;69;earth (soil);ground;6,83;5,04;5,69;5,28;2,35;5,5
8;4;8;earth (soil);area;6,83;5,04;5,69;5,56;2,19;5,06
3;3;3;dust;cloud;3,72;3,45;4,56;6,2;2,81;4,79
7;6;7;dust;sand;3,72;3,45;4,56;6,16;3,43;4,82
23;7;23;dust;smoke (exhaust);3,72;3,45;4,56;3,44;5;4,17
24;5;24;dust;fog;3,72;3,45;4,56;5,77;3,67;4,05
5;4;5;dust;clay;3,72;3,45;4,56;5,45;3,84;5,64
7;6;6;dust;land;3,72;3,45;4,56;6,61;3,05;5,94
4;4;4;dust;mud;3,72;3,45;4,56;5,06;3,19;4,27
5;5;5;dust;flour;3,72;3,45;4,56;5,25;3,26;5,86
14;5;11;mud;dirty;5,06;3,19;4,27;3,17;5,05;5,05
69;25;64;mud;clay;5,06;3,19;4,27;5,45;3,84;5,64
5;3;5;mud;adobe;5,06;3,19;4,27;5,25;3,89;5,55
