WordWeight;FamilyWeight;LanguageWeight;from_word;to_word
4;2;4;earth (soil);tooth
2;1;2;earth (soil);meat
1;1;1;earth (soil);carry person on back
16;6;16;earth (soil);mud
27;14;26;earth (soil);dust
6;1;6;earth (soil);ten
5;1;5;earth (soil);tell
2;1;2;earth (soil);look for
20;1;20;earth (soil);camp
42;16;42;earth (soil);sand
9;3;9;earth (soil);ash
1;1;1;earth (soil);eat
9;4;9;earth (soil);dirty
1;1;1;earth (soil);laugh
2;2;2;earth (soil);bird
1;1;1;earth (soil);foot
2;2;2;earth (soil);wheat
16;4;16;earth (soil);field
3;2;3;earth (soil);sun
5;2;5;earth (soil);short
4;2;4;earth (soil);heart
1;1;1;earth (soil);day (not night)
1;1;1;earth (soil);otter
1;1;1;earth (soil);collared peccary
2;2;2;earth (soil);seed
1;1;1;earth (soil);savanna
167;43;159;earth (soil);land
70;24;69;earth (soil);country
28;12;28;earth (soil);mainland
70;24;69;earth (soil);world
9;3;9;earth (soil);island
18;6;18;earth (soil);place (position)
1;1;1;earth (soil);soup
1;1;1;earth (soil);belt
5;3;5;earth (soil);plain
56;17;55;earth (soil);clay
4;2;4;earth (soil);pasture
61;33;58;earth (soil);floor
2;2;2;earth (soil);brick
1;1;1;earth (soil);only
2;1;2;earth (soil);shallow
7;2;7;earth (soil);bottom
1;1;1;earth (soil);root
1;1;1;earth (soil);stove
3;2;3;earth (soil);shit (defecate)
2;2;2;earth (soil);edge
1;1;1;earth (soil);good
2;1;1;earth (soil);conceive
1;1;1;earth (soil);open
2;1;1;earth (soil);thou
2;1;1;earth (soil);mother
2;1;1;earth (soil);what
2;1;1;earth (soil);no
2;1;1;earth (soil);now
3;2;2;earth (soil);give
1;1;1;earth (soil);say
1;1;1;earth (soil);army
1;1;1;earth (soil);heaven
2;1;1;earth (soil);door
1;1;1;earth (soil);son
1;1;1;earth (soil);rainbow
3;2;2;earth (soil);wood
1;1;1;earth (soil);in front of
2;1;1;earth (soil);god
1;1;1;earth (soil);again
1;1;1;earth (soil);do or make
1;1;1;earth (soil);be alive or life
1;1;1;earth (soil);master
2;1;1;earth (soil);livestock
1;1;1;earth (soil);need (noun)
2;2;2;earth (soil);sweet
2;1;1;earth (soil);which
1;1;1;earth (soil);roof
1;1;1;earth (soil);love
1;1;1;earth (soil);barley
1;1;1;earth (soil);wages
1;1;1;earth (soil);send
1;1;1;earth (soil);we (exclusive)
1;1;1;earth (soil);father
2;2;2;earth (soil);rope
1;1;1;earth (soil);eye
1;1;1;earth (soil);head
2;2;2;earth (soil);name
1;1;1;earth (soil);if
3;2;3;earth (soil);below or under
1;1;1;earth (soil);cheese
2;2;2;earth (soil);and
1;1;1;earth (soil);behind
1;1;1;earth (soil);child (descendant)
1;1;1;earth (soil);good luck
1;1;1;earth (soil);people
1;1;1;earth (soil);priest
1;1;1;earth (soil);misplace
2;2;2;earth (soil);low
1;1;1;earth (soil);he or she or it
1;1;1;earth (soil);they
1;1;1;earth (soil);breast
1;1;1;earth (soil);milk
1;1;1;earth (soil);year
5;4;5;earth (soil);down or below
1;1;1;earth (soil);navel
1;1;1;earth (soil);i
1;1;1;earth (soil);swim
1;1;1;earth (soil);tree trunk
2;2;2;earth (soil);side
1;1;1;earth (soil);darkness
1;1;1;earth (soil);black
1;1;1;earth (soil);board
1;1;1;earth (soil);flat
1;1;1;earth (soil);buttocks
2;2;2;earth (soil);run
1;1;1;earth (soil);limp
1;1;1;earth (soil);hunger
3;3;3;earth (soil);adobe
1;1;1;earth (soil);pot
1;1;1;earth (soil);carry on head
1;1;1;earth (soil);because
1;1;1;earth (soil);straight
