FamilyWeight;LanguageWeight;from_word;to_word
2;2;abandoned industrial site;industrial wasteland
2;2;agreement;convention
2;2;agreement;treaty
2;2;agreement;covenant
1;2;accident;stroke
1;2;accident;fortuity
4;4;accident;disaster
3;9;accumulator;battery
1;2;acidity;acidity degree
1;2;acoustic insulation;soundproofing
2;4;acoustic level;sound level
2;4;sound level;sound pressure level
2;2;acoustic level;noise level
2;2;noise level;sound pressure level
1;2;acoustic level;loudness
1;2;loudness;sound pressure level
1;2;acoustic level;volume
1;2;sound pressure level;volume
1;2;acoustic level;intensity
1;2;intensity;sound pressure level
1;2;acoustic;acoustics
2;3;deed;doing
2;6;addition;chemical addition
1;2;management;ruling
3;8;advertisement;advertising
1;5;advice;recommendation
1;2;advice;council
2;3;advice;consultancy
1;4;advice;board
1;3;advice;notice
1;6;aerial photograph;aerial photography
1;2;aerosol;spray can
1;2;aerosol;aerosol container
1;2;aerosol;aerosol can
1;2;aerosol;aerosol bomb
1;2;aerosol;aerosol tin
1;2;agricultural pest;pest
1;2;agriculture;farm
1;2;air;aria
15;57;aircraft;plane
15;57;aircraft;fixed-wing aircraft
2;2;air movement;air transportation
2;2;air transportation;planetary wind
1;3;aerodrome;airport
1;2;air traffic law;aviation law
5;9;alarm;alert
1;2;alkane;methane series
1;2;alkane;alkane series
1;5;alluvion;flooding
1;5;flooding;overflowing
1;5;flooding;inundation
3;9;americas;united states
3;9;america;united states
3;9;americas;united states of america
3;9;america;united states of america
3;9;america;americas
3;9;americas;u.s.
3;9;america;u.s.
3;9;americas;u.s.a.
3;9;america;u.s.a.
3;9;americas;u.s. of a.
3;9;america;u.s. of a.
3;9;americas;states
3;9;america;states
3;9;americas;usa
3;9;america;usa
1;4;amphibian;amphibious
2;3;analysis;assay
1;3;angling;fishing
1;3;fishing;line-fishing
2;2;animal housing;animal shelter
2;5;animal husbandry;livestock breeding
2;7;animal husbandry;livestock farming
1;2;animal husbandry;breeding
1;2;animal husbandry;farm
1;7;animal manure;manure
1;2;animal shelter;pet shelter
1;2;animal sanctuary;animal shelter
3;4;animal;beast
5;11;antarctica;antartica
1;2;antarctic region;antarctica
2;4;aquaculture;hydroculture
1;4;aquatic mammal;marine mammal
2;8;nursery;tree nursery
2;8;plant nursery;tree nursery
3;8;archipelago;island group
1;3;distribution area;land
1;2;ambit;distribution area
2;2;aromatic compound;aromaticity
2;2;artificial lake;reservoir
2;4;ash;ashes
2;4;ash;remains
1;2;atmospheric humidity;humidity
1;2;air humidity;atmospheric humidity
3;6;public house;tavern
3;6;pub;tavern
3;6;beer parlour;tavern
1;2;free-base;ground
1;2;establish;free-base
1;2;found;free-base
1;2;freebase;ground
1;2;establish;freebase
1;2;found;freebase
2;2;base;bottom
2;2;basis;bottom
1;6;battery;drum kit
1;6;battery;drums
1;6;battery;drum set
1;6;battery;drumset
2;9;bay;gulf
1;2;bay;creek
3;4;bay;bight
3;4;bay;inlet
3;4;beach;seashore
1;2;plague;torture
1;2;oppress;torture
1;2;beef cattle;cattle
2;8;bee;honey bee
2;8;bee;western honey bee
2;8;bee;european honey bee
2;8;bee;honeybee
1;2;beetle;volkswagen beetle
1;2;beetle;volkswagen type 1
2;2;beetle;bug
2;2;beetle;hemipterous insect
2;7;bearing;comportment
2;7;bearing;conduct
2;7;comportment;posture
2;7;comportment;conduct
1;2;bicycle;wheel
1;2;bike;wheel
1;2;cycle;wheel
1;4;biodegradability;biodegradation
2;3;biological engineering;biotechnology
2;3;bioengineering;biotechnology
2;3;biotechnological engineering;biotechnology
2;4;biological indicator;biomarker
2;4;bioindicator;biomarker
2;4;biological indicator;biological marker
2;4;bioindicator;biological marker
1;2;birth control;contraception
2;4;black coal;coal
1;3;blood;line
1;3;blood;stock
1;3;blood;lineage
1;3;blood;line of descent
1;3;blood;bloodline
1;3;blood;blood line
1;3;blood;parentage
2;2;boating;navigation
1;2;boiler;water kettel
1;3;boiler;steam boiler
1;2;book;omasum
1;2;book;manyplies
1;2;book;fardel
1;2;book;psalterium
3;9;accounting;bookkeeping
4;13;accountancy;bookkeeping
7;15;border;boundary
1;4;border;limit
1;2;crevice;gluteal cleft
1;2;crevice;natal cleft
1;2;anal cleft;crevice
1;2;butt-crack;crevice
1;2;butt crack;crevice
1;2;buttcrack;crevice
1;2;boron;pine
2;3;botanical conservatory;botanical garden
1;2;botanical;botany
1;2;botanical;plant biology
1;2;botanical;phytology
1;2;botanical;plant science
1;2;botanical;plant sciences
1;2;botanic;botany
1;2;botanic;plant biology
1;2;botanic;phytology
1;2;botanic;plant science
1;2;botanic;plant sciences
3;4;bovid;bovines
4;9;sovereign state;state
4;9;nation;sovereign state
4;8;brook;stream
3;3;brook;streamlet
1;4;drake;duck
2;2;bryophyte;moss
2;3;marsh;moor
2;5;bog;moor
6;13;belly;stomach
6;13;stomach;venter
3;8;bedbug;bug
3;8;bedbug;hemipterous insect
2;3;bug;insects
2;3;hemipterous insect;insects
1;7;building;edifice
1;2;building area;building site
1;3;built-up area;urban zone
1;3;built-up area;urban region
2;7;business;commercial enterprise
2;7;business;business enterprise
2;9;business;firm
2;9;business;corporation
2;9;business;company
2;9;business;venture
2;9;business;concern
2;9;business;partnership
1;4;business;endeavour
1;4;business;endeavor
2;3;business;shop
2;3;lepidoptera;lepidopteran
2;3;lepidopteran;lepidopterans
1;2;cable;cord
1;2;cable;hawser
3;9;camp;military camp
1;2;canids;dog
1;5;costly;loved
1;5;expensive;loved
2;2;carbon;charcoal
1;5;cancer-causing;carcinogen
1;5;cancer-producing;carcinogen
2;8;carnivore;carnivorous
2;5;cartography;mapping
1;8;catastrophe;disaster
1;4;catchment area;drainage basin
1;4;catchment area;catchment basin
1;4;catchment area;river catchment
1;2;basin;catchment area
1;8;basement;cellar
1;2;cell;cubicle
2;5;cellulose;wood pulp
1;3;ceramics;crockery
1;3;crockery;earthenware
1;3;ceramics;earthernware
1;3;earthenware;earthernware
1;3;ceramics;earthenware
1;3;board;map
1;3;circuit board;map
1;3;circuit card;map
1;2;map;nautical chart
2;4;child;infant
3;4;boy;child
1;4;childhood;infancy
2;8;chimney;chimneystack
1;2;chimney;funnel
2;2;chimney;fireplace
1;2;pipe;smoking pipe
2;2;chimney;pipe
2;5;bat;chiropteran
2;2;church;temple
2;2;church building;temple
6;9;city;town
6;9;city;settlement
1;2;bee;by
2;2;civil safety;civilian protection
1;3;civil law;private law
1;2;classification;ranking
1;2;cleanser;detergent
1;3;climatic alteration;climatic change
1;3;climate change;climatic alteration
2;7;apparel;clothing
2;7;clothing;garments
2;7;clothes;clothing
2;7;apparel;clothes
2;7;clothes;garments
2;7;apparel;thing
2;7;garments;thing
2;7;clothing;things
2;7;apparel;things
2;7;garments;things
2;2;clothing;dress
2;2;apparel;dress
2;2;dress;garments
3;4;apparel;attire
3;4;attire;garments
3;3;clothing;garment
3;3;apparel;garment
3;3;garment;garments
1;15;coast;shore
1;15;seaside;shore
1;3;coating;siding
1;3;cladding;coating
1;2;coating;covering
1;3;cipher;code
1;2;coke;nose candy
1;2;cold;winter
1;7;chill;cold
1;4;colour;colourant
1;4;color;colourant
1;4;colour;tincture
1;4;color;tincture
2;4;colour;paint
2;4;color;paint
1;2;colour;suit
1;2;color;suit
2;5;exhaust gas;waste gas
2;2;exhaust gas;flue gas
2;2;public participation;social participation
2;3;soil subsidence;subsidence
1;2;compaction;compression
3;11;compensation;indemnity
1;4;compensation;compensation for damage
2;8;conifer;coniferous tree
1;3;conservation;preservation
1;2;advice;consultation
4;9;contamination;pollution
2;2;contamination;impurity
1;3;agreement;deal
1;5;chill;cool down
3;13;collaboration;cooperation
1;2;baker;bakery
1;3;coppice;thicket
1;3;coppice;copse
2;5;barrier reef;coral reef
2;9;cork;stopper
2;9;bottle stopper;cork
2;9;bottle cork;cork
2;3;cost;expenditure
4;21;cotton;cotton plant
1;5;coverage;covering
1;3;covering;market coverage
1;2;covering;justification
2;2;covering;coverlet
2;4;craft;trade
2;3;criminality;delinquency
2;3;crime;criminality
