from_word;to_word;LanguageWeight;FamilyWeight;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
youngster;youth;10;2;0,796;0,557;0,661;0,938;0,608;0,736
adore;worship;13;3;0,854;0,438;0,657;0,688;0,38;0,573
job;work;15;3;0,694;0,541;0,717;0,719;0,596;0,75
widow;widower;2;2;0,25;0,45;0,265;0,184;0,406;0,325
entire;whole;14;3;0,689;0,462;0,698;0,653;0,357;0,572
overall;whole;12;3;0,583;0,37;0,67;0,653;0,357;0,572
salary;wage;13;3;0,786;0,48;0,652;0,635;0,48;0,565
landscape;view;2;2;0,719;0,176;0,423;0,896;0,292;0,555
vase;vessel;8;2;0,638;0,225;0,215;0,49;0,398;0,538
jug;vessel;9;2;0,52;0,25;0,213;0,49;0,398;0,538
box;vessel;9;2;0,5;0,179;0,312;0,49;0,398;0,538
container;vessel;11;3;0,551;0,396;0,561;0,49;0,398;0,538
timber;tree;5;3;0,332;0,202;0,386;0,67;0,118;0,442
tree;wood;5;3;0,67;0,118;0,442;0,494;0,182;0,373
post;tree;2;2;0,52;0,426;0,548;0,67;0,118;0,442
rail;train;2;2;0,47;0,5;0,526;0,666;0,705;0,62
city;town;16;3;0,847;0,531;0,508;0,551;0,299;0,627
climax;top;2;2;0,735;0,853;0,667;0,76;0,4;0,554
season;time;3;3;0,792;0,41;0,519;0,604;0,288;0,609
time;turn;4;2;0,604;0,288;0,609;0,531;0,398;0,482
article;thing;10;3;0,594;0,28;0,481;0,449;0,222;0,26
object;thing;12;3;0,531;0,356;0,375;0,449;0,222;0,26
robbery;theft;3;3;0,133;0,843;0,435;0,135;0,867;0,394
instructor;teacher;15;3;0,771;0,49;0,782;0,76;0,404;0,885
gentle;sweet;13;3;0,847;0,353;0,589;0,668;0,418;0,382
soft;sweet;14;3;0,76;0,179;0,232;0,668;0,418;0,382
guest;stranger;3;3;0,719;0,49;0,558;0,33;0,449;0,302
foreigner;stranger;9;2;0,5;0,519;0,48;0,33;0,449;0,302
station;stop;6;2;0,688;0,367;0,519;0,28;0,51;0,49
condition;state;9;3;0,5;0,469;0,519;0,562;0,32;0,604
ladder;stairs;3;2;0,56;0,438;0,358;0,51;0,439;0,342
sound;voice;5;4;0,765;0,623;0,398;0,594;0,343;0,528
sadness;sorrow;13;4;0,052;0,288;0,164;0,052;0,235;0,164
sore;ulcer;9;4;0,094;0,65;0,224;0,286;0,596;0,377
ground;soil;13;3;0,398;0,343;0,602;0,35;0,18;0,356
smooth;soft;6;4;0,823;0,127;0,281;0,76;0,179;0,232
little;small;15;3;0,385;0,16;0,213;0,542;0,205;0,12
leather;skin;6;4;0,51;0,324;0,341;0,569;0,35;0,395
sit;suit;3;3;0,561;0,23;0,368;0,776;0,282;0,482
fit;sit;3;3;0,604;0,45;0,632;0,561;0,23;0,368
shop;store;14;3;0,725;0,632;0,565;0,646;0,538;0,407
boutique;shop;10;2;0,745;0,49;0,441;0,725;0,632;0,565
hot;sharp;3;3;0,49;0,74;0,573;0,459;0,585;0,585
boy;servant;12;2;0,646;0,392;0,445;0,34;0,408;0,331
brain;sense;4;3;0,667;0,441;0,823;0,781;0,417;0,474
intelligence;sense;2;2;0,833;0,587;0,885;0,781;0,417;0,474
intellect;sense;3;3;0,844;0,418;0,87;0,781;0,417;0,474
ocean;sea;5;3;0,823;0,308;0,642;0,833;0,353;0,589
list;schedule;4;3;0,528;0,26;0,402;0,51;0,38;0,48
reason;sake;4;3;0,781;0,455;0,712;0,49;0,573;0,407
cause;sake;4;3;0,469;0,373;0,486;0,49;0,573;0,407
carpet;rug;3;3;0,52;0,17;0,339;0,52;0,24;0,245
chamber;room;16;4;0,583;0,373;0,455;0,729;0,283;0,445
means;road;2;2;0,615;0,373;0,46;0,656;0,404;0,404
road;way;16;4;0,656;0,404;0,404;0,48;0,275;0,42
method;road;2;2;0,64;0,275;0,698;0,656;0,404;0,404
road;street;6;3;0,656;0,404;0,404;0,594;0,324;0,398
rent;tax;2;2;0,344;0,429;0,446;0,26;0,481;0,534
cousin;relative;5;3;0,675;0,394;0,427;0,5;0,378;0,386
finished;ready;13;3;0,51;0,387;0,57;0,77;0,388;0,648
allowance;ration;2;2;0,673;0,382;0,591;0,521;0,346;0,39
dispute;quarrel;9;3;0,219;0,75;0,585;0,112;0,929;0,496
aim;purpose;14;3;0,481;0,569;0,567;0,8;0,534;0,782
