from_word;to_word;LanguageWeight;FamilyWeight;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
youngster;youth;10;2;6,05;4,55;5;6,53;4,14;5
adore;worship;13;3;7,37;5,96;6,26;5,57;3,78;4,65
job;work;15;3;5,64;4;4,44;5,05;4,33;6,12
widow;widower;2;2;2,28;3,5;4,12;2,26;2,83;3,23
entire;whole;14;3;5,67;2,85;5,06;5,86;3,48;6,24
overall;whole;12;3;5,17;2,95;4,81;5,86;3,48;6,24
salary;wage;13;3;6,42;4,86;5,05;6;3,43;4,48
landscape;view;2;2;7;3,75;5;6,67;3,3;6,84
vase;vessel;8;2;5,77;3,57;6,11;5,2;3,62;4,28
jug;vessel;9;2;5,45;3,73;5,45;5,2;3,62;4,28
box;vessel;9;2;5,33;2,67;4,67;5,2;3,62;4,28
container;vessel;11;3;5,7;3,57;6;5,2;3,62;4,28
timber;tree;5;3;4,9;3,73;5,37;7,59;2,67;5,62
tree;wood;5;3;7,59;2,67;5,62;5,82;3,5;6,37
post;tree;2;2;5,05;3,58;6,32;7,59;2,67;5,62
rail;train;2;2;5,1;2,62;5,5;6,36;4,05;5,72
city;town;16;3;6,12;5,08;5,04;5,59;3,81;5,47
climax;top;2;2;7,53;6,83;6,21;6;4,33;6,25
season;time;3;3;6,71;3,2;6,16;5,6;3,41;4,36
time;turn;4;2;5,6;3,41;4,36;5,45;3,48;5,88
article;thing;10;3;5,68;3,5;5,68;5,55;3,43;5,41
object;thing;12;3;5,52;4,08;5,91;5,55;3,43;5,41
robbery;theft;3;3;2,76;6,32;2,67;2,6;5,17;3,93
instructor;teacher;15;3;6,15;5,05;5,81;7,37;2,9;5,95
gentle;sweet;13;3;7,42;3,17;6,95;7,77;4,14;6,12
soft;sweet;14;3;7,13;3,04;6,1;7,77;4,14;6,12
guest;stranger;3;3;6,14;4,15;6,95;4,09;5,8;4,84
foreigner;stranger;9;2;4,68;3,24;4,33;4,09;5,8;4,84
station;stop;6;2;5,5;3;4,61;4,73;4,14;5,06
condition;state;9;3;4,32;4,15;6,53;5,73;3,29;5,65
ladder;stairs;3;2;5,32;4,09;5,56;5,48;3,59;5,57
sound;voice;5;4;6,45;4,14;5,5;6,5;3,25;6,22
