FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
2;2;agreement;convention;0,76;0,44;0,736;0,622;0,622;0,704
2;2;agreement;treaty;0,76;0,44;0,736;0,646;0,382;0,667
2;2;agreement;covenant;0,76;0,44;0,736;0,594;0,462;0,667
1;2;accident;stroke;0,125;0,908;0,336;0,562;0,44;0,57
4;4;accident;disaster;0,125;0,908;0,336;0,082;0,892;0,433
1;2;acoustic;acoustics;0,542;0,462;0,536;0,611;0,33;0,509
1;2;management;ruling;0,792;0,491;0,806;0,177;0,566;0,41
3;8;advertisement;advertising;0,6;0,566;0,539;0,622;0,608;0,632
1;5;advice;recommendation;0,698;0,408;0,688;0,912;0,388;0,664
1;2;advice;council;0,698;0,408;0,688;0,875;0,279;0,635
1;4;advice;board;0,698;0,408;0,688;0,592;0,255;0,385
1;3;advice;notice;0,698;0,408;0,688;0,646;0,408;0,491
1;2;agriculture;farm;0,64;0,357;0,465;0,781;0,327;0,297
15;57;aircraft;plane;0,646;0,644;0,691;0,51;0,356;0,386
1;3;aerodrome;airport;0,541;0,74;0,678;0,729;0,684;0,682
5;9;alarm;alert;0,241;0,882;0,698;0,479;0,82;0,648
1;4;amphibian;amphibious;0,427;0,357;0,474;0,479;0,346;0,445
2;3;analysis;assay;0,729;0,448;0,705;0,633;0,559;0,594
1;3;angling;fishing;0,625;0,408;0,5;0,677;0,283;0,405
3;4;animal;beast;0,521;0,51;0,513;0,214;0,78;0,732
2;4;ash;ashes;0,26;0,21;0,207;0,327;0,279;0,142
2;4;ash;remains;0,26;0,21;0,207;0,61;0,24;0,565
3;6;pub;tavern;0,592;0,637;0,446;0,516;0,577;0,475
2;2;base;bottom;0,635;0,298;0,553;0,417;0,37;0,291
2;2;basis;bottom;0,602;0,26;0,426;0,417;0,37;0,291
2;9;bay;gulf;0,719;0,365;0,569;0,52;0,365;0,398
1;2;bay;creek;0,719;0,365;0,569;0,552;0,392;0,33
3;4;bay;inlet;0,719;0,365;0,569;0,646;0,378;0,466
3;4;beach;seashore;0,885;0,529;0,455;0,796;0,31;0,375
1;2;plague;torture;0,083;0,596;0,355;0,115;0,878;0,555
1;2;oppress;torture;0,186;0,654;0,555;0,115;0,878;0,555
2;2;beetle;bug;0,323;0,356;0,295;0,286;0,5;0,246
2;7;bearing;conduct;0,571;0,367;0,474;0,453;0,51;0,75
1;2;bicycle;wheel;0,708;0,519;0,425;0,615;0,31;0,446
1;2;bike;wheel;0,708;0,5;0,333;0,615;0,31;0,446
1;2;cycle;wheel;0,635;0,4;0,533;0,615;0,31;0,446
1;3;blood;line;0,219;0,684;0,585;0,541;0,18;0,353
1;3;blood;stock;0,219;0,684;0,585;0,594;0,418;0,407
1;3;blood;lineage;0,219;0,684;0,585;0,633;0,465;0,721
1;3;blood;bloodline;0,219;0,684;0,585;0,51;0,657;0,604
1;3;blood;parentage;0,219;0,684;0,585;0,903;0,382;0,595
2;2;boating;navigation;0,638;0,613;0,557;0,841;0,47;0,72
3;9;accounting;bookkeeping;0,552;0,39;0,677;0,52;0,214;0,592
7;15;border;boundary;0,406;0,382;0,424;0,561;0,427;0,518
1;4;border;limit;0,406;0,382;0,424;0,427;0,453;0,5
1;2;boron;pine;0,441;0,37;0,375;0,583;0,225;0,312
1;2;botanical;botany;0,66;0,259;0,491;0,604;0,201;0,5
