FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
2;2;agreement;convention;6,75;4,05;6,48;5;3,67;4,65
2;2;agreement;treaty;6,75;4,05;6,48;5,42;3,7;5,62
2;2;agreement;covenant;6,75;4,05;6,48;5,21;4;5,35
1;2;accident;stroke;2,55;4,93;3;4,19;4,95;4,19
4;4;accident;disaster;2,55;4,93;3;1,71;6,35;2,97
1;2;acoustic;acoustics;7,1;4;5,79;6,33;3,19;5,86
1;2;management;ruling;4,95;3,24;4,7;4,22;4,52;5,47
3;8;advertisement;advertising;4,3;4,14;5,84;4,68;3,25;5
1;5;advice;recommendation;5,78;3,05;5,83;6,1;3;6,22
1;2;advice;council;5,78;3,05;5,83;5;3,86;5,21
1;4;advice;board;5,78;3,05;5,83;5,33;3,52;5,37
1;3;advice;notice;5,78;3,05;5,83;5,94;3,38;5,11
1;2;agriculture;farm;6,1;3,05;6;6,22;3,05;6,08
15;57;aircraft;plane;6,3;4,86;5,71;5,72;4,91;5,07
5;9;alarm;alert;3,86;6,85;6,58;5,38;5,14;6,58
1;4;amphibian;amphibious;5,4;3,35;5,42;5,75;5,7;4,85
3;4;animal;beast;7,06;4,3;5,72;4,42;5,83;4,08
3;6;pub;tavern;5,45;4,36;5,68;5,55;4,22;5
2;2;base;bottom;5,68;3,1;6,37;3,61;3,19;3,44
2;2;basis;bottom;5,42;2,68;5,18;3,61;3,19;3,44
1;2;bay;creek;7,23;3,26;4,86;6,32;2,67;5
3;4;bay;inlet;7,23;3,26;4,86;5,57;2,75;4,75
3;4;beach;seashore;7,21;5,1;5,7;7,68;3;6
1;2;plague;torture;2,42;6,67;2,96;1,4;5,09;2,76
2;2;beetle;bug;4,2;4,45;5,93;3,45;6,06;4,08
1;2;bicycle;wheel;6,71;3,95;6,2;5,9;4;6,16
1;2;bike;wheel;6,1;3,62;5,89;5,9;4;6,16
1;2;cycle;wheel;5,64;4,42;5,81;5,9;4;6,16
1;3;blood;line;3,48;5,76;3,94;4,82;3,24;4,89
1;3;blood;stock;3,48;5,76;3,94;5,5;3,5;4,62
1;3;blood;lineage;3,48;5,76;3,94;5,32;3,37;5,45
1;3;blood;bloodline;3,48;5,76;3,94;5,71;4;3,73
2;2;boating;navigation;6,63;4,64;5,82;5,84;4;6,59
3;9;accounting;bookkeeping;4,42;3,68;4,48;5,16;3,48;5,83
7;15;border;boundary;4,68;4,3;4,74;4,75;4,17;3,95
1;4;border;limit;4,68;4,3;4,74;4,53;4,29;4,37
1;2;boron;pine;4,1;2,91;5,28;6,58;3,25;4,95
1;2;botanical;botany;5,77;3,25;5,73;5,55;3;4,81
4;8;brook;stream;7;3,33;6,08;6,9;4,35;5,09
1;4;drake;duck;5,05;4,32;5,21;6,11;4;5,3
2;5;bog;moor;3,57;3,68;5;4,95;3,95;5,28
6;13;belly;stomach;4,37;3,75;4,96;4,53;3,76;5,4
1;7;building;edifice;5,47;3,35;6;5;3,95;5,33
2;9;business;firm;5,48;3,71;5,35;5,36;4,3;6,58
2;9;business;corporation;5,48;3,71;5,35;3,82;4,73;4,47
2;9;business;company;5,48;3,71;5,35;5,64;3,29;5
2;9;business;venture;5,48;3,71;5,35;5,33;5,55;6,08
2;9;business;concern;5,48;3,71;5,35;5,05;4,7;5,55
2;9;business;partnership;5,48;3,71;5,35;6,5;3,73;6,33
1;4;business;endeavor;5,48;3,71;5,35;6,42;4,19;5,75
2;3;business;shop;5,48;3,71;5,35;5,89;4,76;5,72
1;2;cable;cord;5,9;3,52;5,79;5,38;4,2;5,47
1;5;costly;loved;3;4,08;4,68;7,65;5,59;6,68
1;5;expensive;loved;3,36;6,1;6,21;7,65;5,59;6,68
2;2;carbon;charcoal;4,5;4,05;5,05;6,2;2,86;5
1;8;catastrophe;disaster;2,7;5,64;2,5;1,71;6,35;2,97
1;8;basement;cellar;4,81;3,33;5,26;4,7;3,14;4,75
1;2;cell;cubicle;4,09;4,23;4,86;3,8;3,05;3,86
1;3;board;map;5,33;3,52;5,37;5,81;3,95;5,79
2;4;child;infant;7,2;5,33;5,2;6,65;4,1;5,26
3;4;boy;child;5,84;4,11;5,5;7,2;5,33;5,2
1;2;chimney;funnel;4,89;2,45;5,19;5,32;2,95;4,35
2;2;chimney;fireplace;4,89;2,45;5,19;5,95;5,2;5,56
2;2;chimney;pipe;4,89;2,45;5,19;4,75;4,11;5,92
2;2;church;temple;5,21;3,63;5,04;5,3;3,36;5,84
6;9;city;town;6,12;5,08;5,04;5,59;3,81;5,47
6;9;city;settlement;6,12;5,08;5,04;5,67;3,36;4,93
1;2;classification;ranking;4,77;3,45;5,74;5,42;3,86;6,21
1;2;cleanser;detergent;6,4;3,61;6,24;5,42;3,25;5,6
2;7;apparel;clothing;5,38;4,3;6,19;6,37;4,44;6,72
2;7;clothes;clothing;6,77;3,14;5,47;6,37;4,44;6,72
2;7;apparel;clothes;5,38;4,3;6,19;6,77;3,14;5,47
2;7;apparel;thing;5,38;4,3;6,19;5,55;3,43;5,41
2;2;clothing;dress;6,37;4,44;6,72;6,42;4,73;6,64
2;2;apparel;dress;5,38;4,3;6,19;6,42;4,73;6,64
3;4;apparel;attire;5,38;4,3;6,19;6,16;3,95;5,78
3;3;clothing;garment;6,37;4,44;6,72;5,57;3,5;5,84
3;3;apparel;garment;5,38;4,3;6,19;5,57;3,5;5,84
1;3;cipher;code;5,71;4,55;5,53;4,67;2,76;4,83
1;2;cold;winter;4,32;3,55;5,17;5,5;2,77;4,41
1;7;chill;cold;5,16;3,25;5,55;4,32;3,55;5,17
2;4;color;paint;7,05;3,18;5,95;5,74;4,5;6,56
1;2;color;suit;7,05;3,18;5,95;5,89;3,05;5,17
1;3;conservation;preservation;5,2;3,17;5,79;6,68;4,6;6
1;2;advice;consultation;5,78;3,05;5,83;5,29;4,84;5,32
4;9;contamination;pollution;3,11;6,71;3,78;2;5,19;4,16
1;3;agreement;deal;6,75;4,05;6,48;6,14;3,9;6,12
3;13;collaboration;cooperation;5,19;4,39;6,21;6,62;3,32;6,83
2;9;cork;stopper;4,93;3,92;4,7;4,65;4,35;5,74
2;4;craft;trade;6,38;4,04;6,36;5,91;4,45;6,26
1;2;civilization;culture;6,2;3,7;6;6,28;4,06;5,71
3;10;feather;pen;6,3;3,29;5,97;5,63;2,75;6,17
2;2;feather;plume;6,3;3,29;5,97;5,19;3;4,77
2;2;cyclone;tornado;3,47;5,09;3,18;3,63;7,45;2,87
4;4;cyclone;typhoon;3,47;5,09;3,18;3,62;5,82;3,38
1;3;plug;socket;4,42;3,35;5,67;4,45;4,04;5,42
2;4;dam;dyke;4,58;3,67;5,26;3,8;3,67;3,67
2;4;dam;levee;4,58;3,67;5,26;5,09;4,26;5,14
1;4;damage;detriment;2,98;4,86;3,46;3,67;4,4;4,47
1;4;damage;injury;2,98;4,86;3,46;2,32;5,56;3,6
1;2;damage;wound;2,98;4,86;3,46;3,24;4,65;3,64
2;2;damage;loss;2,98;4,86;3,46;2,9;5,2;4,47
1;2;damage;harm;2,98;4,86;3,46;1,91;5,9;3,95
1;3;debt;guilt;1,95;5,93;3,71;2,29;4,48;4,35
1;2;debt;liability;1,95;5,93;3,71;3,45;4,58;4,24
1;3;choice;conclusion;6,36;3,52;6,56;4,8;3,95;6,63
1;3;conclusion;pick;4,8;3,95;6,63;5,91;3,62;5,94
2;3;decree;order;5,33;3,9;4,53;5,82;3,19;6,56
1;2;decree;ordinance;5,33;3,9;4,53;4,75;3,95;4,67
2;3;decree;regulation;5,33;3,9;4,53;4,15;3,45;4,24
2;3;deer;roe;6,89;3,95;4,89;4,18;4,04;5,32
4;4;deer;reindeer;6,89;3,95;4,89;6,62;3,59;5,5
1;4;demand;wish;4,1;5,85;5,14;7,14;3,38;6,5
1;3;demand;question;4,1;5,85;5,14;6,36;3,67;5,88
1;4;desert;desolate;5,36;3,5;5,58;2,95;3,22;2,94
1;2;detection;survey;4,63;3,95;5,11;5,55;3,68;6,93
1;2;detection;investigation;4,63;3,95;5,11;4,36;5,7;6,11
3;9;dictionary;vocabulary;6,05;2,91;5,88;5,5;3,6;6,29
1;2;directive;order;5,7;4,3;5,96;5,82;3,19;6,56
1;2;command;directive;4,19;4,65;7,21;5,7;4,3;5,96
1;2;directive;instruction;5,7;4,3;5,96;5,22;2,62;5,65
1;2;directive;rule;5,7;4,3;5,96;4,5;3,67;3,61
2;6;ailment;disease;3;3,68;3,14;1,68;5,5;2,8
2;6;ailment;malady;3;3,68;3,14;3,86;4,48;4,37
2;6;ailment;disorder;3;3,68;3,14;3,76;4,9;4,19
2;6;ailment;illness;3;3,68;3,14;1,95;5,11;3,02
2;6;ailment;sickness;3;3,68;3,14;2,4;3,95;2,8
2;6;disease;malady;1,68;5,5;2,8;3,86;4,48;4,37
2;6;illness;malady;1,95;5,11;3,02;3,86;4,48;4,37
2;6;malady;sickness;3,86;4,48;4,37;2,4;3,95;2,8
1;2;ditch;gap;3,2;3,81;5,42;4,91;3,6;4,71
1;2;ditch;fissure;3,2;3,81;5,42;4,3;4,18;4,59
1;2;ditch;gorge;3,2;3,81;5,42;4,5;4,26;5,33
1;2;abyss;ditch;3,9;4,85;4;3,2;3,81;5,42
1;2;ditch;precipice;3,2;3,81;5,42;4,58;4,14;3,79
2;3;dosage;dose;4,57;4;5,79;4,91;2,95;5
3;11;cloth;fabric;6,2;2,58;5,4;6,05;2,4;5,8
1;2;dwelling;housing;5,21;3,57;5,82;5,85;2,73;6,12
3;4;apartment;dwelling;5,72;3,8;5,33;5,21;3,57;5,82
1;3;issue;matter;3,95;4,55;5,47;5,82;4,05;6,12
1;3;concern;issue;5,05;4,7;5,55;3,95;4,55;5,47
6;18;economics;economy;5,2;3,7;4,05;3,64;5,32;4,16
2;2;economy;farm;3,64;5,32;4,16;6,22;3,05;6,08
1;4;education;training;6,58;4,64;6,82;5,19;4,1;6,26
2;4;education;upbringing;6,58;4,64;6,82;6,32;4,27;4,68
1;2;effect;influence;5,5;4,08;5,88;5,53;4,3;5,96
1;2;clout;effect;5,24;4,48;4,59;5,5;4,08;5,88
7;14;ball;egg;6,14;3,48;5,47;5,95;3,28;5,74
7;14;egg;testicle;5,95;3,28;5,74;4,19;5,4;4,86
7;14;egg;nut;5,95;3,28;5,74;5,44;4,24;4,56
2;2;employment;occupation;6;5,02;5,36;4,77;4,33;5,47
1;2;employment;position;6;5,02;5,36;5,56;3,35;4,72
1;2;enforcement;function;4,67;4,48;4;5,55;4,1;6,18
2;3;entourage;environment;4,9;4;5,29;6,7;3,45;4,62
2;2;device;equipment;5,79;3,42;5,95;5,62;3,04;5,2
1;2;ethical;ethics;5,78;3,78;5,71;6;3,71;6,6
3;9;appraisal;evaluation;5,09;4,09;5,65;4,86;5,89;4,62
2;2;estimate;evaluation;5,95;3,41;5,43;4,86;5,89;4,62
