"Word","Valence_lang","Arousal_lang","Dominance_lang","Valence_fam","Arousal_fam","Dominance_fam","Valence_mean","Arousal_mean","Dominance_mean"
"agreement",5.49260869565217,3.75,6.09434782608696,5.40769230769231,3.78538461538462,5.88846153846154,5.62428571428571,3.71285714285714,5.77285714285714
"accident",2.54,5.645,3.2825,2.26333333333333,5.88,3.17833333333333,2.81666666666667,5.41,3.38666666666667
"accumulator",4.26,3.95,4.35,4.26,3.95,4.35,4.26,3.95,4.35
"acoustic level",5.22778801843318,5.97900153609831,5.67972350230415,5.22921259842505,5.99228346456676,5.67401574803133,5.23163265306122,5.9930612244898,5.67183673469388
"sound level",5.22778801843318,5.97900153609831,5.67972350230415,5.22921259842505,5.99228346456676,5.67401574803133,5.23163265306122,5.9930612244898,5.67183673469388
"noise level",5.22778801843318,5.97900153609831,5.67972350230415,5.22921259842505,5.99228346456676,5.67401574803133,5.23163265306122,5.9930612244898,5.67183673469388
"loudness",5.24336405529954,5.88700460829493,5.69917050691244,5.24763779527554,5.92685039370073,5.68204724409443,5.25489795918367,5.92918367346939,5.67551020408163
"sound pressure level",5.22778801843318,5.97900153609831,5.67972350230415,5.22921259842505,5.99228346456676,5.67401574803133,5.23163265306122,5.9930612244898,5.67183673469388
"intensity",5.25592030360531,5.61335863377609,5.78368121442125,5.26147356580419,5.61529808773894,5.77862767154097,5.26787755102041,5.70502040816327,5.74261224489796
"acoustic",6.33,3.19,5.86,6.33,3.19,5.86,6.33,3.19,5.86
"deed",5.26214285714286,4.00697802197802,5.5689010989011,5.29081632653061,4.0330612244898,5.57938775510204,5.493125,4.125,5.804375
"management",4.76904761904762,3.88714285714286,5.70761904761905,4.78,3.82571428571429,5.67428571428571,4.70666666666667,3.69333333333333,5.47333333333333
"advertisement",5.164,3.642,5.2,5.285,3.74,5.25,5.89,4.23,5.5
"advice",5.6528,3.3708,5.656,5.61,3.395,5.636,5.59111111111111,3.43333333333333,5.61444444444444
"agricultural pest",2.67,5.14,4.36,2.67,5.14,4.36,2.67,5.14,4.36
"agriculture",6.22,3.05,6.08,6.22,3.05,6.08,6.22,3.05,6.08
"air",6.21872383595853,3.57693367136023,5.38323746530444,6.1368053940944,3.64453731690305,5.31338467798186,6.12460389610385,3.72124025974024,5.44898831168827
"aircraft",6.01,4.885,5.39,6.01,4.885,5.39,6.01,4.885,5.39
"alarm",4.43,5.695,6.525,4.43,5.695,6.525,4.43,5.695,6.525
"amphibian",5.75,5.7,4.85,5.75,5.7,4.85,5.75,5.7,4.85
"analysis",4.44,4.3,4.06,4.44,4.3,4.06,4.43999999999988,4.29999999999988,4.05999999999989
"animal husbandry",6.21999999999999,3.05,6.07999999999999,6.21999999999999,3.05,6.07999999999999,6.22,3.05,6.08
"animal manure",3.19,4.15,4.51,3.19,4.15,4.51,3.19,4.15,4.51
"animal",4.42,5.83,4.08,4.42,5.83,4.08,4.42,5.83,4.08
"nursery",6.31848484848485,3.51929292929293,5.37050505050505,6.20857142857142,3.58714285714285,5.05999999999999,6.1879999999987,3.74919999999913,5.03399999999897
"plant nursery",6.09090909090909,4.11909090909091,4.82636363636364,6.08571428571424,4.02142857142854,4.78999999999997,6.07999999999568,3.91399999999709,4.74999999999658
"distribution area",5.72230769230769,3.23769230769231,5.90923076923077,5.51875,3.265,6.05,5.632,3.136,5.94
"ambit",5.72230769230769,3.23769230769231,5.90923076923077,5.51875,3.265,6.05,5.632,3.136,5.94
"artificial lake",5.37,3.22,5,5.37,3.22,5,5.37,3.22,5
"public house",5.31428571428571,4.35285714285714,5.20571428571429,5.22,4.406,5.288,5.275,4.375,5.24
"pub",5.31428571428571,4.35285714285714,5.20571428571429,5.22,4.406,5.288,5.275,4.375,5.24
"beer parlour",5.31428571428571,4.35285714285714,5.20571428571429,5.22,4.406,5.288,5.275,4.375,5.24
"free-base",5.52980786825252,3.0816010978957,6.06060384263495,5.54077348066298,3.12502762430939,6.08895027624309,5.53062111801242,3.11291925465839,6.07391304347826
"establish",5.90068028214739,3.37024496059971,6.11343800726028,5.87877178070548,3.42547811304717,6.17721631959201,5.86623706004141,3.39306418219462,6.12554347826087
"found",5.57923147301006,3.1564043915828,6.0824153705398,5.62309392265193,3.33011049723757,6.19580110497238,5.58248447204969,3.28167701863354,6.13565217391304
"freebase",5.52980786825252,3.0816010978957,6.06060384263495,5.54077348066298,3.12502762430939,6.08895027624309,5.53062111801242,3.11291925465839,6.07391304347826
"base",5.52702721866423,3.22168984446478,6.06791445562672,5.3837666558336,3.32301267468313,5.88669483262918,5.45898964803313,3.29911801242236,5.98910144927536
"basis",3.61,3.19,3.44,3.61,3.19,3.44,3.61,3.19,3.44
"battery",4.32114285714286,3.91457142857143,4.43628571428571,4.39375,3.8725,4.53875,4.43833333333333,3.84666666666667,4.60166666666667
