nwords;th_neigh;val_lang;c.i1_val_lang;c.i2_val_lang;aro_lang;c.i1_aro_lang;c.i2_aro_lang;dom_lang;c.i1_dom_lang;c.i2_dom_lang;val_fam;c.i1_val_fam;c.i2_val_fam;aro_fam;c.i1_aro_fam;c.i2_aro_fam;dom_fam;c.i1_dom_fam;c.i2_dom_fam;val_mean;c.i1_val_mean;c.i2_val_mean;aro_mean;c.i1_aro_mean;c.i2_aro_mean;dom_mean;c.i1_dom_mean;c.i2_dom_mean;left_out;num_words_computed
4841;1;0,774019438431533;0,762474166550029;0,785071969740381;0,697598282294417;0,682846682362245;0,711781261344846;0,716114799752873;0,702107959494582;0,729567679273725;0,77470403605913;0,763189071172578;0,785727128458086;0,69776373760936;0,683018701757396;0,711940273395242;0,717005196597293;0,703034686125312;0,730422509758494;0,775695862967181;0,764224856058803;0,786676261185778;0,697532674108722;0,682778471767204;0,711718207711708;0,718040277058901;0,704112059366474;0,731416191727666;3159;7164
3032;2;0,81039590191629;0,79781392519942;0,822272308960774;0,73103226264765;0,714015716855602;0,747185639281975;0,757713900857115;0,742133936639015;0,772475479750119;0,81161126441879;0,799100988431422;0,823418968973875;0,732089335707602;0,715128661074761;0,748188462815003;0,759371738579885;0,74388284641065;0,774045295998101;0,813553197385737;0,801157724427052;0,825250927468621;0,732321848895932;0,715373475190049;0,748409033439672;0,761722231796649;0,746362825841645;0,776270682599727;3159;7164
2068;3;0,821162302885353;0,806608472502168;0,834721074068164;0,735281555946928;0,714833112250809;0,754473645606563;0,775223230393082;0,757428829543219;0,791866872918691;0,821349398760107;0,806809179081041;0,83489527105545;0,73536592881956;0,7149229318828;0,754552766670201;0,777582812380455;0,759949948309284;0,794072006400553;0,823969446484422;0,809620180595112;0,837334400673552;0,737791191216075;0,717505047528737;0,756826829606112;0,77986882588915;0,762392968217844;0,796207973007803;3159;7164
1468;4;0,832711643118218;0,816327720000774;0,847756588671476;0,7457205082042;0,722108666557799;0,767596849943165;0,769399870153136;0,74766902034447;0,789484677807851;0,830845413822905;0,814297235557485;0,846044098102726;0,743325258263143;0,719526733276099;0,765379974528424;0,7732424646625;0,751822935954504;0,793031738139882;0,834708061016975;0,818500299936306;0,84958819578667;0,745523334149825;0,721896100108494;0,76741437923088;0,775510778581286;0,754275823495892;0,795124966239637;3159;7164
1065;5;0,838717311625441;0,819958014456692;0,855677002965598;0,7581289459708;0,731365617392974;0,782560778803997;0,783543326634713;0,759206981291778;0,805691728388975;0,836732336112135;0,817765042546494;0,853884170686058;0,754606853359929;0,727514202754761;0,779349808622476;0,78812155822906;0,764231903026067;0,809851447038417;0,839719661242044;0,821065604927169;0,856582171689694;0,75711653934781;0,73025837406778;0,781637935747387;0,789106728230361;0,765313573707421;0,810746273430136;3159;7164
789;6;0,846663417515997;0,825658680982769;0,865324174774132;0,750554334818797;0,718391817753423;0,77951488115891;0,781742248969107;0,753033662874123;0,807480104967328;0,843754289175396;0,822389375068655;0,86274276714588;0,746085217438718;0,713440797110043;0,775498084420474;0,784964901912854;0,756622306520145;0,810363177075343;0,848019581624465;0,827183233280563;0,866527225314192;0,747776769817332;0,715314365657661;0,777018714420814;0,787045838681921;0,75894047904709;0,8122241859025;3159;7164
584;7;0,844661544262361;0,819702289543243;0,866419239707207;0,742495053263439;0,703756326183562;0,776831594955831;0,772795271179016;0,737929300573407;0,803547000115369;0,84234756761594;0,817053384917762;0,864405549209351;0,735316208099932;0,695686114331839;0,770483914125678;0,77538383215805;0,740857026009221;0,805823579285528;0,844957632654501;0,820041311212714;0,866676853465775;0,738320524421108;0,69906224705114;0,773141240581449;0,775405357160077;0,740881376811786;0,805842506252499;3159;7164
447;8;0,840365685129946;0,810814217174395;0,865643607327507;0,76738100613088;0,726327775230951;0,802978728509221;0,793944742918176;0,756934813366761;0,82587790072411;0,838090534877638;0,808161794592782;0,863702043161419;0,762686677049;0,720935790845664;0,798921042330972;0,794152706397564;0,757175073528986;0,826056760276078;0,840701128491306;0,811205387469605;0,865929803160734;0,763854373602417;0,722276554354816;0,799930684677692;0,791460981319288;0,754066097265631;0,823741238024426;3159;7164
349;9;0,815119545642956;0,776593597147517;0,847571795725403;0,759977731855249;0,711785706529049;0,801048171765016;0,818171320940221;0,78020430385665;0,850132119131453;0,812644178162349;0,773666724976813;0,845493946268135;0,753022789760364;0,703669459176634;0,795144776872305;0,816828314504129;0,778615014558255;0,849005573967705;0,814906319178577;0,77634141290309;0,847392850347588;0,753812730546783;0,704590652868622;0,795815685290388;0,814180319831595;0,775482861607021;0,846783516845261;3159;7164
267;10;0,825708813765746;0,783306638403318;0,860463029184735;0,759893587676171;0,704074961954709;0,806379765268415;0,834797512526071;0,79435741249458;0,867870572703413;0,823269731012256;0,780345558683109;0,858472604990838;0,755297864007761;0,698593825956427;0,8025739897589;0,831066468912681;0,789817667232103;0,86483144625388;0,82715598782122;0,785064437437957;0,861643500737945;0,752429139847459;0,695175783535062;0,800196411475689;0,830499859363762;0,789128640446231;0,864369697181083;3159;7164
