Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
youngster;0,762722222222222;0,514194444444445;0,513930555555556;0,759027777777778;0,527722222222222;0,534361111111111;0,742238095238095;0,508047619047619;0,513809523809524;0,796;0,557;0,661
adore;0,842895729684909;0,590345563847429;0,677302446102819;0,823923045351939;0,521700595115945;0,653262056228196;0,809212468193384;0,493017811704834;0,647596692111959;0,854;0,438;0,657
job;0,627062143352986;0,486092981619741;0,629017021754471;0,61844420917247;0,486877062550975;0,616018821757952;0,61543342533694;0,490760662669689;0,608992085252614;0,694;0,541;0,717
woman;0,702916666666667;0,4565;0,462125;0,679125;0,483208333333333;0,429166666666667;0,6955;0,482928571428571;0,439571428571429;0,865;0,5;0,578
of;0,591988050339502;0,392548469677537;0,496767672894482;0,588412715963092;0,388393196042016;0,492401472744394;0,588327147737116;0,390976937266871;0,493397488136387;NA;NA;NA
for;0,535692991276837;0,392566158794873;0,472579181042832;0,532883417553182;0,392762721059892;0,465981650662599;0,535771414751299;0,393287401349691;0,469133971148193;NA;NA;NA
to;0,5558226237069;0,394676605085957;0,484729858985044;0,54891404059209;0,39389238781751;0,478918710224002;0,544962698959174;0,392201357961205;0,479580013782483;NA;NA;NA
widow;0,221714285714286;0,431142857142857;0,290714285714286;0,228;0,435333333333333;0,285;0,228;0,435333333333333;0,285;0,25;0,45;0,265
entire;0,641938036600475;0,40457427836419;0,633619237912474;0,623245036880716;0,382039938848067;0,588557966332665;0,631480144689382;0,37843120222405;0,596460582074791;0,689;0,462;0,698
overall;0,667028071810349;0,389066499061979;0,662463995767356;0,648485427275151;0,375627175786122;0,633486814290683;0,652692242942953;0,370827755770766;0,63203327202907;0,583;0,37;0,67
okay;0,78049703024112;0,380664335521443;0,635182442191218;0,732062864833716;0,380345508936159;0,637555393459963;0,708052348827155;0,388058440209901;0,622680769028434;NA;NA;NA
us;0,50628627580536;0,35055401249864;0,399420351556946;0,472510985368109;0,416073646929914;0,442804391221875;0,551504955389323;0,350245629347259;0,42652889298606;NA;NA;NA
salary;0,759618181818182;0,557436363636364;0,644945454545455;0,75504347826087;0,534652173913044;0,662695652173913;0,736857142857143;0,5235;0,664785714285714;0,786;0,48;0,652
landscape;0,749363636363636;0,319090909090909;0,570363636363636;0,695714285714286;0,324714285714286;0,567857142857143;0,694375;0,32925;0,576125;0,719;0,176;0,423
vase;0,50145;0,26955;0,3424;0,501428571428571;0,279571428571429;0,372142857142857;0,498333333333333;0,2845;0,398666666666667;0,638;0,225;0,215
jug;0,522586462954905;0,355655638304457;0,423390235414083;0,51331357785467;0,356703197231833;0,410680913494809;0,515547474285703;0,370211474285707;0,411328731428565;0,52;0,25;0,213
box;0,474510615517068;0,388509817221108;0,435017522958072;0,453445897707231;0,381917855379189;0,415618137566138;0,476779858585859;0,384281373737374;0,424218393939394;0,5;0,179;0,312
container;0,523702339107444;0,342075951284018;0,403901143088926;0,507772666666667;0,337256;0,393521;0,5066772;0,3473072;0,3978752;0,551;0,396;0,561
until;0,550546214347791;0,377660586176338;0,470779118722786;0,539091917859313;0,377885274601424;0,459031145567683;0,539642925794544;0,385181805012679;0,461789142162345;NA;NA;NA
till;0,561810440501586;0,38762097135903;0,472073641600233;0,545290749652714;0,378738187086088;0,456417339189702;0,547263448056181;0,382050663508875;0,464209299513641;0,49;0,327;0,319
timber;0,562142857142857;0,325514285714286;0,409914285714286;0,560740740740741;0,312333333333333;0,423537037037037;0,551833333333333;0,287125;0,414291666666667;0,332;0,202;0,386
tree;0,515554263565891;0,277255813953488;0,4683;0,519127450980391;0,26353431372549;0,458843137254901;0,539083333333332;0,248219696969697;0,460901515151514;0,67;0,118;0,442
post;0,566476585055804;0,39237886126994;0,544271149191101;0,569594923975987;0,38444391998255;0,538204019091092;0,571403514894288;0,379761961453026;0,534631838099272;0,52;0,426;0,548
stanchion;0,525813953488372;0,374837209302326;0,494;0,569583333333333;0,315541666666667;0,526166666666667;0,562916666666667;0,328416666666667;0,525916666666667;NA;NA;NA
rail;0,442573230584734;0,435315774278798;0,458102056452508;0,453193990278392;0,436310207688909;0,465201060539107;0,442248281130634;0,445532085561497;0,459655462184874;0,47;0,5;0,526
city;0,740612903225806;0,459774193548387;0,549096774193548;0,685636363636363;0,416636363636364;0,5505;0,670833333333333;0,424333333333333;0,5745;0,847;0,531;0,508
climax;0,642684210526316;0,502526315789474;0,601684210526316;0,625875;0,4863125;0,5949375;0,643222222222222;0,508777777777778;0,606888888888889;0,735;0,853;0,667
season;0,696709219888221;0,37733152291873;0,467483764769321;0,711741062865835;0,397019197063395;0,452747255200238;0,697456706385579;0,386723311946227;0,447512343415826;0,792;0,41;0,519
period of time;0,5;0,306;0,5985;0,465333333333333;0,312;0,595;0,5;0,306;0,5985;NA;NA;NA
time;0,582053138901651;0,350418017145699;0,441991625072984;0,561654466841978;0,345194616899066;0,457311729744103;0,557730787271585;0,346707497084479;0,462270205330867;0,604;0,288;0,609
that;0,597933589368267;0,37231307800624;0,469518122392685;0,594605136646464;0,369313252663542;0,460563709583897;0,593014122647453;0,369284331879204;0,464218293798009;NA;NA;NA
article;0,579912708398868;0,351093740169865;0,508846807172067;0,600304444444197;0,359026349206224;0,519824444444235;0,59066781609193;0,343582758620676;0,502321455938676;0,594;0,28;0,481
object;0,559810787098931;0,408092413101604;0,564305940842246;0,568734358974359;0,422268717948718;0,566751794871795;0,561775490196078;0,421992156862745;0,560850980392157;0,531;0,356;0,375
their;0,589348175350662;0,357230790927179;0,458800684226228;0,586033093290529;0,355580794953408;0,454614841006956;0,585288780815349;0,355829436385223;0,456430684729266;NA;NA;NA
there;0,602162635279476;0,362601780510479;0,452395937814266;0,594943627604952;0,358398149756762;0,44913777258085;0,591887188818373;0,362663879965442;0,456790080019335;NA;NA;NA
robbery;0,193526315789474;0,778842105263158;0,455105263157895;0,1986875;0,7735;0,4539375;0,195;0,77625;0,4495;0,133;0,843;0,435
instructor;0,643951219512195;0,448609756097561;0,744780487804878;0,6627;0,47385;0,7762;0,669545454545455;0,488272727272727;0,782363636363636;0,771;0,49;0,782
gentle;0,768727480562634;0,33407193712878;0,478798483877318;0,764089029283123;0,350038406002384;0,493358644349809;0,759199017939341;0,349337512814044;0,487722468595412;0,847;0,353;0,589
soft;0,694385670464969;0,318502678406564;0,433257768067278;0,656541866168369;0,335141027469616;0,41846862054223;0,660486134054242;0,32911319453316;0,41676790827675;0,76;0,179;0,232
guest;0,594666666666667;0,462;0,5262;0,577916666666667;0,45825;0,536166666666667;0,588833333333333;0,461666666666667;0,524833333333333;0,719;0,49;0,558
foreigner;0,387;0,581357142857143;0,394535714285714;0,383;0,590714285714286;0,394428571428571;0,40675;0,602;0,39325;0,5;0,519;0,48
station;0,604789527389817;0,358029622861743;0,515408660978064;0,594555052308535;0,351032246471883;0,518025041926688;0,593669319635191;0,349451074225987;0,516323903133275;0,688;0,367;0,519
not yet;0,681655678034686;0,234995995147083;0,411924743964699;0,667451809935754;0,242184137068684;0,425890378133878;0,664304763536568;0,24254022777836;0,424121718254678;NA;NA;NA
condition;0,557428208392031;0,431735277829687;0,566861417287181;0,54841218938301;0,410984047031483;0,564503919096944;0,548823271298857;0,395986743034261;0,562526289364165;0,5;0,469;0,519
ladder;0,454769230769231;0,450846153846154;0,462769230769231;0,479222222222222;0,486111111111111;0,453333333333333;0,4782;0,4722;0,452;0,56;0,438;0,358
sound;0,621606715533924;0,475400857221706;0,603556963352362;0,625196265244957;0,473461618115914;0,593966935659334;0,639257319151812;0,463729308453829;0,603879520991123;0,765;0,623;0,398
sadness;0,126504761904762;0,546539455782313;0,352580952380952;0,111042105263155;0,490102631578916;0,312386842105244;0,104266666666667;0,464733333333333;0,286654545454545;0,052;0,288;0,164
sore;0,267638888888889;0,654486111111111;0,354277777777778;0,2986;0,648733333333333;0,367466666666667;0,307206896551724;0,644586206896552;0,370241379310345;0,094;0,65;0,224
ground;0,580017811704835;0,372910891583096;0,54314274310233;0,572827028285415;0,371794901641252;0,535667675474334;0,566971264367816;0,370467727674624;0,520103006189213;0,398;0,343;0,602
smooth;0,668200717026255;0,293805956156305;0,458849244425284;0,683209670666097;0,280468089762356;0,455957364521243;0,685792568937644;0,280851717985134;0,456111313667181;0,823;0,127;0,281
little;0,447043889891294;0,301734395967589;0,276882057069045;0,447950145641459;0,316765965301862;0,273223488406373;0,448476186114218;0,317422772457932;0,276508756295888;0,385;0,16;0,213
leather;0,701;0,532;0,616142857142857;0,701;0,524111111111111;0,615222222222222;0,6482;0,4876;0,531;0,51;0,324;0,341
sit;0,531961538461538;0,370461538461538;0,437769230769231;0,595111111111111;0,3665;0,476833333333333;0,561333333333333;0,387333333333333;0,456444444444444;0,561;0,23;0,368
fit;0,636420363906212;0,445241366299445;0,571162073980863;0,64590092965744;0,444056474935293;0,572157019111816;0,64848233058722;0,439996572898662;0,572426132763302;0,604;0,45;0,632
short-cut;0,594;0,308;0,426;0,594;0,308;0,426;0,594;0,308;0,426;NA;NA;NA
shop;0,621526315789474;0,494385964912281;0,580052631578947;0,5985;0,506772727272727;0,579181818181818;0,597642857142857;0,513642857142857;0,583785714285714;0,725;0,632;0,565
boutique;0,66847619047619;0,565142857142857;0,497;0,64575;0,53875;0,52475;0,619333333333333;0,507666666666667;0,511333333333333;0,745;0,49;0,441
it;0,606083610424801;0,360792764099631;0,471281695916697;0,60154641499825;0,360634536839757;0,46693667858249;0,605991161788696;0,361705122229448;0,472211866057688;NA;NA;NA
hot;0,552243094916779;0,703511237067027;0,639229815564552;0,557800581395214;0,688656976744013;0,625776162790545;0,573018;0,679212;0,633426;0,49;0,74;0,573
boy;0,544327443609023;0,424854887218045;0,47708007518797;0,575256038647128;0,447364734298801;0,477152173912758;0,597614379084967;0,423941176470588;0,472111111111111;0,646;0,392;0,445
brain;0,768827586206897;0,450275862068966;0,732862068965517;0,772066666666667;0,453133333333333;0,7204;0,771428571428571;0,455714285714286;0,738;0,667;0,441;0,823
