Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
youngster;5,86180555555556;4,02083333333333;5,06888888888889;5,55027777777778;4,0225;4,77944444444444;5,61666666666667;3,99857142857143;4,84666666666667;6,05;4,55;5
adore;6,97449315563912;4,81371230022501;6,56034438147112;6,73545914856022;4,74676651024344;6,0468962418912;6,60092470506568;4,65263937080714;5,86936878325216;7,37;5,96;6,26
job;5,48184264726333;4,20148705303696;5,71319954397104;5,44747089851567;4,17728895132322;5,65979682044826;5,44195821269783;4,15303090073041;5,67271894600889;5,64;4;4,44
woman;6,6325;4,2025;5,70041666666667;6,57208333333333;4,49583333333333;5,64875;6,59928571428571;4,45285714285714;5,68214285714286;7,09;3,8;5,93
of;5,67728284372986;3,90671146236662;5,47313825623445;5,65005681339834;3,87582636529;5,52777518500849;5,66040481397069;3,89376715337941;5,51765111231043;NA;NA;NA
for;5,55184576851647;3,85737326298088;5,47117065240433;5,54674678725464;3,87105259165947;5,50173007320195;5,55667631056561;3,8630606956743;5,51612649572945;NA;NA;NA
to;5,5782689706328;3,86710138468781;5,55311069871243;5,55582930397356;3,89194606954315;5,56196546267477;5,55504646059087;3,88530517102023;5,56593655690628;NA;NA;NA
widow;2,27142857142857;3,21285714285714;3,73857142857143;2,27333333333333;3,27666666666667;3,82333333333333;2,27333333333333;3,27666666666667;3,82333333333333;2,28;3,5;4,12
entire;5,80746014436812;3,58430933233941;5,8861487263527;5,70299681472816;3,70412372949299;5,79822609579969;5,67270495802304;3,67576685911116;5,80231118990944;5,67;2,85;5,06
overall;5,75186883950161;3,37723024320059;5,83097490654171;5,71256538949914;3,55004548887677;5,77746706483281;5,72364833487402;3,53564675213617;5,79797632218596;5,17;2,95;4,81
okay;6,5915888774069;3,84904485864843;6,24043709979597;6,32114676292842;3,99876334468811;6,20995443831471;6,25855306936012;4,10516743586836;6,1119162461697;NA;NA;NA
us;5,58775056840545;4,00839940574074;5,34510782398866;5,4689977104112;4,23693398636462;5,25706751570365;5,82532570228406;4,17261690027553;5,78819557489209;NA;NA;NA
salary;6,2662243279437;4,53063379289464;5,831208186287;6,21570562943842;4,42853805036494;5,62164383257959;6,1073932754971;4,3831582564935;5,66879130413708;6,42;4,86;5,05
landscape;6,10636363636364;3,35;6,09545454545454;5,91714285714286;3,225;5,8;5,895;3,36875;5,81625;7;3,75;5
vase;5,3885;3,526;5,2495;5,40857142857143;3,53571428571429;5,25571428571429;5,40166666666667;3,50333333333333;5,22333333333333;5,77;3,57;6,11
jug;5,52850382931274;3,61965802632337;5,47492793065115;5,4993513283865;3,60856479952324;5,45185036755815;5,53323233369494;3,64621463177244;5,47382754905428;5,45;3,73;5,45
box;5,41433213977386;3,89229730601892;5,42135088184228;5,20337492569872;3,93569450265542;5,38752401530765;5,32217128613868;3,98315635089104;5,44468468485682;5,33;2,67;4,67
container;5,46188028749008;3,6486459713295;5,37280032458115;5,46158104854755;3,59421679932459;5,33387135404071;5,44004041711868;3,69176828971556;5,38728443631786;5,7;3,57;6
until;5,51352349653655;3,91247079500737;5,58655358842876;5,50523829269041;3,91702114994429;5,56713140769936;5,51744273676544;3,92211732801322;5,56689982710464;NA;NA;NA
till;5,66484454058838;4,14211578314691;5,61761030806435;5,57104580586249;3,990002551526;5,57239783462714;5,57334001801579;4,00135079680432;5,58263519749983;NA;NA;NA
timber;5,60973786025143;3,64039343419568;6,05027145487052;5,60685355178837;3,56461223054018;5,84771804783245;5,72498931073325;3,5159563103331;5,85711294976422;4,9;3,73;5,37
tree;5,57074160206718;3,40029198966408;5,70549741602067;5,55985294115587;3,40085784312295;5,74781862742861;5,8177922077922;3,30589826839827;5,70373376623376;7,59;2,67;5,62
post;5,28125648156627;3,63129169778219;5,49915252530927;5,34423973876619;3,57130541098789;5,50937386463426;5,36153427611754;3,55526613119848;5,50652351934563;5,05;3,58;6,32
stanchion;5,25279069767442;3,35604651162791;5,37162790697674;5,50125;3,36916666666667;5,40833333333333;5,4;3,38916666666667;5,3825;NA;NA;NA
rail;4,85433618475471;3,84599276185874;5,15148416892703;4,94068506421878;3,82525270256012;5,17557125454423;4,85076080432173;3,83571803721489;5,13416135204082;5,1;2,62;5,5
city;5,89096774193548;4,64322580645161;5,28322580645161;5,79772727272727;4,38045454545454;5,49863636363636;5,705;4,375;5,525;6,12;5,08;5,04
