Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
agreement;0,639304347826087;0,449782608695652;0,617565217391304;0,630230769230769;0,456615384615385;0,637;0,649857142857143;0,462;0,619285714285714;0,76;0,44;0,736
accident;0,21275;0,783;0,443;0,169166666666667;0,819333333333333;0,439666666666667;0,256333333333333;0,746666666666667;0,446333333333333;0,125;0,908;0,336
accumulator;0,48;0,425;0,442;0,48;0,425;0,442;0,48;0,425;0,442;NA;NA;NA
acoustic level;0,508;0,667333333333333;0,706;0,507999999999908;0,667333333333213;0,705999999999872;0,508;0,667333333333333;0,706;NA;NA;NA
sound level;0,508;0,667333333333333;0,706;0,507999999999908;0,667333333333213;0,705999999999872;0,508;0,667333333333333;0,706;NA;NA;NA
noise level;0,508;0,667333333333333;0,706;0,507999999999908;0,667333333333213;0,705999999999872;0,508;0,667333333333333;0,706;NA;NA;NA
loudness;0,551513725490196;0,665749019607843;0,71;0,556857142857097;0,674421768707423;0,719183673469324;0,547;0,669783333333333;0,7154;0,35;0,582;0,62
sound pressure level;0,508;0,667333333333333;0,706;0,507999999999908;0,667333333333213;0,705999999999872;0,508;0,667333333333333;0,706;NA;NA;NA
intensity;0,487513725490196;0,583866666666667;0,631882352941177;0,501714285714246;0,587183673469336;0,636612244897904;0,4926;0,600183333333333;0,649;0,622;0,93;0,952
acoustic;0,611;0,33;0,509;0,611;0,33;0,509;0,611;0,33;0,509;0,542;0,462;0,536
deed;0,703258241758242;0,625340659340659;0,786769230769231;0,705367346938775;0,619020408163265;0,790387755102041;0,6878125;0,630625;0,7735625;0,52;0,32;0,592
management;0,451952380952381;0,449428571428571;0,563238095238095;0,473285714285714;0,441714285714286;0,581142857142857;0,507;0,433333333333333;0,626666666666667;0,792;0,491;0,806
advertisement;0,6788;0,6374;0,6594;0,693;0,64475;0,66625;0,764;0,6815;0,7005;0,6;0,566;0,539
advice;0,72456;0,38128;0,60724;0,7123;0,3929;0,6308;0,713888888888889;0,391222222222222;0,624444444444444;0,698;0,408;0,688
agricultural pest;0,188;0,68;0,452;0,188;0,68;0,452;0,188;0,68;0,452;NA;NA;NA
agriculture;0,781;0,327;0,297;0,781;0,327;0,297;0,781;0,327;0,297;0,64;0,357;0,465
air;0,667482080637133;0,355774514683922;0,461881035340966;0,653705882352941;0,367113810741688;0,476943734015345;0,64985857142856;0,361959999999995;0,443949999999994;0,708;0,163;0,427
aircraft;0,578;0,5;0,5385;0,578;0,5;0,5385;0,578;0,5;0,5385;0,646;0,644;0,691
aerodrome;0,729;0,684;0,682;0,729;0,684;0,682;0,729;0,684;0,682;0,541;0,74;0,678
alarm;0,354;0,797;0,6385;0,354;0,797;0,6385;0,354;0,797;0,6385;0,241;0,882;0,698
alluvion;0,226181818181818;0,779818181818182;0,596545454545455;0,218526315789474;0,779052631578947;0,601368421052632;0,236571428571425;0,780857142857132;0,589999999999992;NA;NA;NA
flooding;0,262545454545455;0,783454545454546;0,573636363636364;0,260631578947368;0,783263157894737;0,574842105263158;0,26514285714285;0,783714285714263;0,571999999999984;NA;NA;NA
amphibian;0,479;0,346;0,445;0,479;0,346;0,445;0,479;0,346;0,445;0,427;0,357;0,474
analysis;0,633;0,559;0,594;0,633;0,559;0,594;0,633;0,559;0,594;0,729;0,448;0,705
angling;0,677;0,283;0,405;0,677;0,283;0,405;0,677;0,283;0,405;0,625;0,408;0,5
fishing;0,651;0,3455;0,4525;0,651;0,3455;0,4525;0,651;0,3455;0,4525;0,677;0,283;0,405
animal husbandry;0,724;0,404;0,4535;0,724;0,404;0,4535;0,724;0,404;0,4535;NA;NA;NA
animal manure;0,25;0,471;0,241;0,25;0,471;0,241;0,25;0,471;0,241;NA;NA;NA
animal;0,214;0,78;0,732;0,214;0,78;0,732;0,214;0,78;0,732;0,521;0,51;0,513
nursery;0,793656565656566;0,424828282828283;0,354010101010101;0,754464285714277;0,409714285714281;0,370464285714282;0,788999999998933;0,409519999999488;0,374079999999503;0,894;0,406;0,389
plant nursery;0,841272727272727;0,401636363636364;0,389727272727273;0,811142857142851;0,399142857142854;0,390142857142854;0,777999999999407;0,396399999999716;0,390599999999724;NA;NA;NA
distribution area;0,577846153846154;0,353846153846154;0,553846153846154;0,57225;0,37675;0,604;0,565;0,358;0,5912;NA;NA;NA
ambit;0,577846153846154;0,353846153846154;0,553846153846154;0,57225;0,37675;0,604;0,565;0,358;0,5912;NA;NA;NA
artificial lake;0,531;0,276;0,462;0,531;0,276;0,462;0,531;0,276;0,462;NA;NA;NA
ash;0,4685;0,2595;0,3535;0,4685;0,2595;0,3535;0,4685;0,2595;0,3535;0,26;0,21;0,207
public house;0,509142857142857;0,557285714285714;0,477571428571429;0,5064;0,5494;0,4786;0,508;0,554;0,478;NA;NA;NA
pub;0,509142857142857;0,557285714285714;0,477571428571429;0,5064;0,5494;0,4786;0,508;0,554;0,478;0,592;0,637;0,446
beer parlour;0,509142857142857;0,557285714285714;0,477571428571429;0,5064;0,5494;0,4786;0,508;0,554;0,478;NA;NA;NA
free-base;0,6435;0,39675;0,58325;0,6435;0,39675;0,58325;0,6435;0,39675;0,58325;NA;NA;NA
establish;0,684178885630499;0,434819648093842;0,610112903225806;0,669346153846154;0,441065384615385;0,624580769230769;0,672625;0,4292375;0,615295833333333;0,708;0,5;0,688
found;0,617530844155844;0,425786525974026;0,637401785714286;0,63715;0,447585;0,653155;0,637944444444444;0,432538888888889;0,64395;0,833;0,446;0,49
freebase;0,6435;0,39675;0,58325;0,6435;0,39675;0,58325;0,6435;0,39675;0,58325;NA;NA;NA
base;0,644163636363636;0,403235227272727;0,5835875;0,606441176470588;0,405697058823529;0,566326470588235;0,6175;0,396256666666667;0,57337;0,635;0,298;0,553
basis;0,417;0,37;0,291;0,417;0,37;0,291;0,417;0,37;0,291;0,602;0,26;0,426
battery;0,479428571428571;0,416828571428571;0,441142857142857;0,47875;0,407125;0,440125;0,478333333333333;0,401166666666667;0,4395;0,48;0,425;0,442
bay;0,613913043478261;0,369608695652174;0,463391304347826;0,653666666666667;0,3705;0,494833333333333;0,6312;0,373;0,4664;0,719;0,365;0,569
beach;0,796;0,31;0,375;0,796;0,31;0,375;0,796;0,31;0,375;0,885;0,529;0,455
plague;0,148666666666667;0,779333333333333;0,464;0,148666666666667;0,779333333333333;0,464;0,148666666666667;0,779333333333333;0,464;0,083;0,596;0,355
oppress;0,129;0,829;0,47;0,129;0,829;0,47;0,129;0,829;0,47;0,186;0,654;0,555
beef cattle;0,622;0,34;0,445;0,622;0,34;0,445;0,622;0,34;0,445;NA;NA;NA
bee;0,517449999142271;0,508199999160415;0,309599999490311;0,513199999757865;0,506866666429653;0,310599999856116;0,513624999993245;0,506999999993388;0,310499999995986;0,52;0,509;0,309
beetle;0,30635;0,4208;0,27295;0,302128205128205;0,437230769230769;0,267358974358974;0,307583333333333;0,416;0,274583333333333;0,323;0,356;0,295
bearing;0,59830303030303;0,312378787878788;0,536106060606061;0,590791666666667;0,324833333333333;0,543208333333333;0,572416666666667;0,348083333333333;0,573333333333333;0,571;0,367;0,474
comportment;0,528666666666667;0,395333333333333;0,607333333333333;0,528666666666667;0,395333333333333;0,607333333333333;0,528666666666667;0,395333333333333;0,607333333333333;NA;NA;NA
bicycle;0,661285714285714;0,424428571428571;0,44525;0,667897959183673;0,440775510204082;0,445142857142857;0,6665;0,43225;0,43425;0,708;0,519;0,425
bike;0,661285714285714;0,424428571428571;0,44525;0,659081632653061;0,418979591836735;0,445285714285714;0,6665;0,43225;0,43425;0,708;0,5;0,333
cycle;0,636765306122449;0,423755102040816;0,4165;0,62587012987013;0,413168831168831;0,408727272727273;0,6436;0,4326;0,4096;0,635;0,4;0,533
black coal;0,36;0,241;0,34;0,36;0,241;0,34;0,36;0,241;0,34;NA;NA;NA
blood;0,489875;0,484;0,501;0,489875;0,484;0,501;0,489875;0,484;0,501;0,219;0,684;0,585
