Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
agreement;5,49260869565217;3,75;6,09434782608696;5,40769230769231;3,78538461538462;5,88846153846154;5,62428571428571;3,71285714285714;5,77285714285714;6,75;4,05;6,48
accident;2,54;5,645;3,2825;2,26333333333333;5,88;3,17833333333333;2,81666666666667;5,41;3,38666666666667;2,55;4,93;3
accumulator;4,26;3,95;4,35;4,26;3,95;4,35;4,26;3,95;4,35;NA;NA;NA
acoustic level;5,22778801843318;5,97900153609831;5,67972350230415;5,22921259842505;5,99228346456676;5,67401574803133;5,23163265306122;5,9930612244898;5,67183673469388;NA;NA;NA
sound level;5,22778801843318;5,97900153609831;5,67972350230415;5,22921259842505;5,99228346456676;5,67401574803133;5,23163265306122;5,9930612244898;5,67183673469388;NA;NA;NA
noise level;5,22778801843318;5,97900153609831;5,67972350230415;5,22921259842505;5,99228346456676;5,67401574803133;5,23163265306122;5,9930612244898;5,67183673469388;NA;NA;NA
loudness;5,24336405529954;5,88700460829493;5,69917050691244;5,24763779527554;5,92685039370073;5,68204724409443;5,25489795918367;5,92918367346939;5,67551020408163;NA;NA;NA
sound pressure level;5,22778801843318;5,97900153609831;5,67972350230415;5,22921259842505;5,99228346456676;5,67401574803133;5,23163265306122;5,9930612244898;5,67183673469388;NA;NA;NA
intensity;5,25592030360531;5,61335863377609;5,78368121442125;5,26147356580419;5,61529808773894;5,77862767154097;5,26787755102041;5,70502040816327;5,74261224489796;5,19;7,05;5,34
acoustic;6,33;3,19;5,86;6,33;3,19;5,86;6,33;3,19;5,86;7,1;4;5,79
deed;5,26214285714286;4,00697802197802;5,5689010989011;5,29081632653061;4,0330612244898;5,57938775510204;5,493125;4,125;5,804375;5,89;3;5,92
management;4,76904761904762;3,88714285714286;5,70761904761905;4,78;3,82571428571429;5,67428571428571;4,70666666666667;3,69333333333333;5,47333333333333;4,95;3,24;4,7
advertisement;5,164;3,642;5,2;5,285;3,74;5,25;5,89;4,23;5,5;4,3;4,14;5,84
advice;5,6528;3,3708;5,656;5,61;3,395;5,636;5,59111111111111;3,43333333333333;5,61444444444444;5,78;3,05;5,83
agricultural pest;2,67;5,14;4,36;2,67;5,14;4,36;2,67;5,14;4,36;NA;NA;NA
agriculture;6,22;3,05;6,08;6,22;3,05;6,08;6,22;3,05;6,08;6,1;3,05;6
air;6,21872383595853;3,57693367136023;5,38323746530444;6,1368053940944;3,64453731690305;5,31338467798186;6,12460389610385;3,72124025974024;5,44898831168827;6,71;3,25;5,72
aircraft;6,01;4,885;5,39;6,01;4,885;5,39;6,01;4,885;5,39;6,3;4,86;5,71
alarm;4,43;5,695;6,525;4,43;5,695;6,525;4,43;5,695;6,525;3,86;6,85;6,58
amphibian;5,75;5,7;4,85;5,75;5,7;4,85;5,75;5,7;4,85;5,4;3,35;5,42
analysis;4,44;4,3;4,06;4,44;4,3;4,06;4,43999999999988;4,29999999999988;4,05999999999989;NA;NA;NA
animal husbandry;6,21999999999999;3,05;6,07999999999999;6,21999999999999;3,05;6,07999999999999;6,22;3,05;6,08;NA;NA;NA
animal manure;3,19;4,15;4,51;3,19;4,15;4,51;3,19;4,15;4,51;NA;NA;NA
animal;4,42;5,83;4,08;4,42;5,83;4,08;4,42;5,83;4,08;7,06;4,3;5,72
nursery;6,31848484848485;3,51929292929293;5,37050505050505;6,20857142857142;3,58714285714285;5,05999999999999;6,1879999999987;3,74919999999913;5,03399999999897;6,1;4,29;4,89
plant nursery;6,09090909090909;4,11909090909091;4,82636363636364;6,08571428571424;4,02142857142854;4,78999999999997;6,07999999999568;3,91399999999709;4,74999999999658;NA;NA;NA
distribution area;5,72230769230769;3,23769230769231;5,90923076923077;5,51875;3,265;6,05;5,632;3,136;5,94;NA;NA;NA
ambit;5,72230769230769;3,23769230769231;5,90923076923077;5,51875;3,265;6,05;5,632;3,136;5,94;NA;NA;NA
artificial lake;5,37;3,22;5;5,37;3,22;5;5,37;3,22;5;NA;NA;NA
public house;5,31428571428571;4,35285714285714;5,20571428571429;5,22;4,406;5,288;5,275;4,375;5,24;NA;NA;NA
pub;5,31428571428571;4,35285714285714;5,20571428571429;5,22;4,406;5,288;5,275;4,375;5,24;5,45;4,36;5,68
beer parlour;5,31428571428571;4,35285714285714;5,20571428571429;5,22;4,406;5,288;5,275;4,375;5,24;NA;NA;NA
free-base;5,52980786825252;3,0816010978957;6,06060384263495;5,54077348066298;3,12502762430939;6,08895027624309;5,53062111801242;3,11291925465839;6,07391304347826;NA;NA;NA
establish;5,90068028214739;3,37024496059971;6,11343800726028;5,87877178070548;3,42547811304717;6,17721631959201;5,86623706004141;3,39306418219462;6,12554347826087;5,58;3,72;6,29
found;5,57923147301006;3,1564043915828;6,0824153705398;5,62309392265193;3,33011049723757;6,19580110497238;5,58248447204969;3,28167701863354;6,13565217391304;NA;NA;NA
freebase;5,52980786825252;3,0816010978957;6,06060384263495;5,54077348066298;3,12502762430939;6,08895027624309;5,53062111801242;3,11291925465839;6,07391304347826;NA;NA;NA
base;5,52702721866423;3,22168984446478;6,06791445562672;5,3837666558336;3,32301267468313;5,88669483262918;5,45898964803313;3,29911801242236;5,98910144927536;5,68;3,1;6,37
basis;3,61;3,19;3,44;3,61;3,19;3,44;3,61;3,19;3,44;5,42;2,68;5,18
battery;4,32114285714286;3,91457142857143;4,43628571428571;4,39375;3,8725;4,53875;4,43833333333333;3,84666666666667;4,60166666666667;4,26;3,95;4,35
bay;6,86217391304348;3,12;4,85304347826087;6,73916666666667;3,08333333333333;4,84416666666667;6,716;3,04;4,866;7,23;3,26;4,86
beach;7,68;3;6;7,68;3;6;7,68;3;6;7,21;5,1;5,7
plague;2,44333333333333;5,13666666666667;3,72;2,44333333333333;5,13666666666667;3,72;2,44333333333333;5,13666666666667;3,72;2,42;6,67;2,96
oppress;2,33;5,135;3,4;2,33;5,135;3,4;2,33;5,135;3,4;NA;NA;NA
beef cattle;5,42;2,64;4,74;5,42;2,64;4,74;5,42;2,64;4,74;NA;NA;NA
bee;3,7675;5,5865;5,291;3,91333333333333;5,48066666666667;5,24266666666667;3,89875;5,49125;5,2475;3,68;5,65;5,32
beetle;3,8625;5,1745;5,0975;3,77692307692308;5,35820512820513;4,88641025641026;3,8875;5,12083333333333;5,15916666666667;4,2;4,45;5,93
bearing;5,72423728813559;3,32694915254237;5,85881355932203;5,61454545454545;3,30545454545455;5,87954545454545;5,60636363636364;3,37909090909091;5,91090909090909;NA;NA;NA
comportment;5,27474576271186;3,50898305084746;5,89627118644068;5,23818181818182;3,50181818181818;5,90318181818182;5,23545454545455;3,52636363636364;5,91363636363636;NA;NA;NA
bicycle;6,03285714285714;4,04285714285714;5,99821428571429;6,05183673469388;4,04897959183673;5,97510204081633;6,0875;3,9975;6,015;6,71;3,95;6,2
bike;6,03285714285714;4,04285714285714;5,99821428571429;6,0265306122449;4,04081632653061;6,00591836734694;6,0875;3,9975;6,015;6,1;3,62;5,89
cycle;5,99908163265306;3,71122448979592;5,74102040816327;5,97779220779221;3,61688311688312;5,68558441558442;6,048;3,698;5,768;5,64;4,42;5,81
black coal;4,56;2,55;4,88;4,56;2,55;4,88;4,56;2,55;4,88;NA;NA;NA
blood;4,63625;4,41125;4,35375;4,63625;4,41125;4,35375;4,63625;4,41125;4,35375;3,48;5,76;3,94
boating;5,84;4;6,59;5,84;4;6,59;5,84;4;6,59;6,63;4,64;5,82
boiler;5,17384615384615;3,15375;5,43192307692308;5,19;3,152;5,44;5,13666666666667;3,15777777777778;5,41333333333333;4,47;3,23;5,08
book;5,76178571428571;4,12821428571429;5,92857142857143;5,94363636363636;3,98727272727273;5,95;6,20375;3,6075;5,93125;7,05;3,13;6,41
accounting;5,16;3,48;5,83;5,16;3,48;5,83;5,16;3,48;5,83;4,42;3,68;4,48
accountancy;5,16;3,48;5,83;5,16;3,48;5,83;5,16;3,48;5,83;NA;NA;NA
border;5,34181818181818;4,09727272727273;4,73151515151515;5,406875;3,938125;4,941875;4,995;3,94375;4,8425;4,68;4,3;4,74
crevice;3,98432098765432;4,50000617283951;4,77168518518519;3,95865546218487;4,51939495798319;4,80658823529412;3,95865546218487;4,51939495798319;4,80658823529412;4,67;4,58;4,62
anal cleft;3,675;4,915;5,02;3,675;4,915;5,02;3,675;4,915;5,02;NA;NA;NA
butt-crack;3,675;4,915;5,02;3,675;4,915;5,02;3,675;4,915;5,02;NA;NA;NA
butt crack;3,675;4,915;5,02;3,675;4,915;5,02;3,675;4,915;5,02;NA;NA;NA
buttcrack;3,675;4,915;5,02;3,675;4,915;5,02;3,675;4,915;5,02;NA;NA;NA
boron;6,58;3,25;4,95;6,58;3,25;4,95;6,58;3,25;4,95;4,1;2,91;5,28
botanical;5,69666666666667;3,16666666666667;5,42333333333333;5,69666666666667;3,16666666666667;5,42333333333333;5,69666666666667;3,16666666666667;5,42333333333333;5,77;3,25;5,73
botanic;5,69666666666667;3,16666666666667;5,42333333333333;5,69666666666667;3,16666666666667;5,42333333333333;5,69666666666667;3,16666666666667;5,42333333333333;NA;NA;NA
sovereign state;5,60171428571429;3,68028571428571;5,33171428571429;5,60866666666667;3,71733333333333;5,378;5,65166666666667;3,73833333333333;5,64;NA;NA;NA
nation;5,32735064935065;3,56296753246753;5,70735064935065;5,28616666666667;3,56920833333333;5,752375;5,41166666666667;3,64833333333333;5,89571428571429;6;4,78;4,74
brook;5,5808;4,0508;4,8916;5,74461538461539;4,06923076923077;4,81153846153846;5,61125;3,8375;5,2;7;3,33;6,08
drake;6,11;4;5,3;6,11;4;5,3;6,11;4;5,3;5,05;4,32;5,21
marsh;4,95;3,95;5,28;4,95;3,95;5,28;4,95;3,95;5,28;NA;NA;NA
bog;4,95;3,95;5,28;4,95;3,95;5,28;4,95;3,95;5,28;3,57;3,68;5
belly;5,15065934065934;3,70296703296703;5,19032967032967;5,07476744186046;3,70875968992247;5,1923449612403;4,87235294117434;3,72529411764543;5,2194117647036;4,37;3,75;4,96
stomach;4,79142307692308;3,7819594017094;5,07482264957265;4,84401764234161;3,73039294306334;5,15302325581394;5,00534313725383;3,78014705882271;5,10887254901847;4,53;3,76;5,4
bedbug;3,525;5,899;4,265;3,56538461538462;5,81230769230769;4,36461538461538;3,575;5,79166666666667;4,38833333333333;NA;NA;NA
bug;3,57382352941177;5,70382352941176;4,49735294117647;3,67784615384615;5,49407692307692;4,73715384615385;3,648;5,48133333333333;4,75866666666667;3,45;6,06;4,08
hemipterous insect;3,6;5,738;4,45;3,68076923076923;5,56461538461538;4,64923076923077;3,7;5,52333333333333;4,69666666666667;NA;NA;NA
building;5,11777777777778;3,90111111111111;5,42111111111111;5,265;3,84;5,535;5,265;3,84;5,535;5,47;3,35;6
business;5,44439603960396;4,1750099009901;5,56055445544554;5,56666666666667;4,1275;5,56716666666667;5,59562499999875;4,10656249999916;5,59343749999878;5,48;3,71;5,35
cable;5,38;3,97333333333333;5,80666666666667;5,38;3,97333333333333;5,80666666666667;5,38;3,97333333333333;5,80666666666667;5,9;3,52;5,79
