Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
earth (soil);0;0;0;0;0;0;0;0;0;0,75;0,225;0,614
dust;0;0;0;0;0;0;0;0;0;0,344;0,246;0,241
mud;0;0;0;0;0;0;0;0;0;0,333;0,26;0,185
mountain or hill;0,647302570898129;0,39676585081049;0,511081548442953;0,638464365010171;0,405834141238012;0,507752827666376;0,617743421052631;0,411355263157895;0,499039473684211;NA;NA;NA
precipice;0,558829036632447;0,391174559232421;0,478370386267288;0,539468049985469;0,394168369659983;0,476255960476606;0,519736842105263;0,400210526315789;0,468578947368421;NA;NA;NA
plain;0;0;0;0;0;0;0;0;0;0,5;0,167;0,311
valley;0,50741053821766;0,252689941230989;0,364916051502305;0,494100296425458;0,319178936355711;0,393126277244987;0,488184210526316;0,346052631578947;0,404894736842105;NA;NA;NA
cave;0;0;0;0;0;0;0;0;0;0,459;0,333;0,38
calm;0;0;0;0;0;0;0;0;0;0,875;0,1;0,282
rough (of sea);0;0;0;0;0;0;0;0;0;0,406;0,794;0,632
bay;0,612612546125461;0,309778597785978;0,414254612546125;0,628048780487779;0,304341463414621;0,416024390243887;0,621499999993048;0,323749999996481;0,432124999995641;NA;NA;NA
lagoon;0;0;0;0;0;0;0;0;0;0,66;0,231;0,373
tide;0;0;0;0;0;0;0;0;0;0,541;0,556;0,42
forest;0,628614284472577;0,219892704692504;0,43553138116932;0,640439592610113;0,231062164881382;0,450389139618764;0,626230916883707;0,258331138759479;0,446395785793425;NA;NA;NA
thunder;0;0;0;0;0;0;0;0;0;0,296;0,916;0,526
light (radiation);0;0;0;0;0;0;0;0;0;0,771;0,32;0,519
darkness;0,276432275475434;0,469770604197351;0,426269837943691;0,296531567063302;0,398719815839375;0,373338391764612;0,299522180952918;0,457958933112611;0,371387963513669;NA;NA;NA
shade;0;0;0;0;0;0;0;0;0;0,388;0,265;0,278
dew;0;0;0;0;0;0;0;0;0;0,604;0,225;0,464
flame;0,412701055541593;0,687533048504649;0,595479014827846;0,409350656308597;0,651035628181086;0,563164478971334;0,438067073106473;0,497609756048386;0,480085365793002;NA;NA;NA
ash;0;0;0;0;0;0;0;0;0;0,26;0,21;0,207
embers;0;0;0;0;0;0;0;0;0;0,49;0,481;0,508
burn (something);0;0;0;0;0;0;0;0;0;0,219;0,783;0,509
extinguish;0,0569811320754717;0,882452830188679;0,611150943396226;0,0651785714285714;0,861607142857143;0,584857142857143;0,0768;0,8044;0,5018;NA;NA;NA
move;0;0;0;0;0;0;0;0;0;0,656;0,647;0,67
turn (something);0;0;0;0;0;0;0;0;0;0,531;0,398;0,482
roll;0,449754304668323;0,42929045702099;0,401057888813751;0,464491607323121;0,419500480676455;0,410310714862729;0,453383154795929;0,424974519443237;0,395946861021943;NA;NA;NA
twist (around);0;0;0;0;0;0;0;0;0;0,375;0,469;0,337
rise (move upwards);0;0;0;0;0;0;0;0;0;0,667;0,593;0,745
lift;0,630695098286034;0,506264642042364;0,586444350199002;0,620314063309385;0,494737421770334;0,576167605517575;0,606878944264768;0,487781997152838;0,555646395399224;NA;NA;NA
fall;0;0;0;0;0;0;0;0;0;0,177;0,657;0,221
drip (emit liquid);0,438448413974419;0,471105537009324;0,386524609930507;0,448844495875176;0,472959602213625;0,397692654825675;0,445278589809897;0,489481916384875;0,408624527742991;NA;NA;NA
throw;0;0;0;0;0;0;0;0;0;0,344;0,77;0,623
shake;0;0;0;0;0;0;0;0;0;0,439;0,689;0,539
flow;0;0;0;0;0;0;0;0;0;0,696;0,316;0,464
sink (descend);0,463614447058222;0,564036389604225;0,420826657739354;0,453315723497196;0,563840374532862;0,415899325174083;0,420790442952461;0,553824115593727;0,392464393855047;NA;NA;NA
float;0;0;0;0;0;0;0;0;0;0,688;0,394;0,344
