Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
earth (soil);0;0;0;0;0;0;0;0;0;6,83;5,04;5,69
dust;0;0;0;0;0;0;0;0;0;3,72;3,45;4,56
mud;0;0;0;0;0;0;0;0;0;5,06;3,19;4,27
mountain or hill;5,89303845360982;3,91915266536188;5,69072724588302;5,88460717843944;3,87645486742213;5,61725259872197;5,88451112859997;3,81614490951413;5,54445919652567;NA;NA;NA
precipice;5,77549002765436;3,58840381873646;5,2641564753291;5,67761037008902;3,48170972376583;5,15312081087048;5,68392448291993;3,43151880093109;5,11981023235647;NA;NA;NA
plain;0;0;0;0;0;0;0;0;0;5,08;2,68;5,56
valley;0;0;0;0;0;0;0;0;0;6,22;2,7;5,12
cave;0;0;0;0;0;0;0;0;0;5,15;4,39;4,45
calm;0;0;0;0;0;0;0;0;0;6,89;1,67;7,44
rough (of sea);4,82782608695652;4,89086956521739;5,14086956521739;5,50769230769231;4,57153846153846;5,29538461538462;5;4,81;5,18;NA;NA;NA
bay;0;0;0;0;0;0;0;0;0;7,23;3,26;4,86
lagoon;0;0;0;0;0;0;0;0;0;6,23;3,56;4,62
tide;0;0;0;0;0;0;0;0;0;6,55;5,47;4,76
forest;0;0;0;0;0;0;0;0;0;6,68;4,44;5,71
thunder;0;0;0;0;0;0;0;0;0;5,74;5,75;3,9
light (radiation);0;0;0;0;0;0;0;0;0;6,55;3,52;5,89
darkness;0;0;0;0;0;0;0;0;0;4,71;4,08;4,82
shade;0;0;0;0;0;0;0;0;0;5,91;2,91;6,25
dew;0;0;0;0;0;0;0;0;0;4,79;3,04;5,67
flame;4,51161997575357;5,60064469033582;4,78737055280145;4,51727993927311;5,40648394206833;4,8106052884498;4,69905963992639;4,90123945177437;5,05267690307913;NA;NA;NA
ash;4,3977517237981;3,73709519729801;4,81062255582102;4,76850642221193;4,01971415478605;4,89959457312936;5,46520129279156;4,20661630755654;5,18927824198951;NA;NA;NA
embers;4,35405184976562;5,03704899143449;4,67538214115706;4,48789010457131;5,28999995098942;4,69337764769548;4,70173376426385;5,43553876918551;4,77642608066317;NA;NA;NA
burn (something);0;0;0;0;0;0;0;0;0;3,73;5,4;3,9
extinguish;0;0;0;0;0;0;0;0;0;4,65;4,91;5,47
move;6,01879446897088;4,19300798916191;5,69345551900364;5,71117441828423;4,30137233608634;5,729098323927;5,81416453968565;4,25418875705616;5,72031871287028;NA;NA;NA
turn (something);5,32932457487308;4,02068952262951;5,56710391797372;5,32778060968306;4,01915435587476;5,53832144172349;5,30715650010257;4,00274199214535;5,49040706880437;NA;NA;NA
roll;0;0;0;0;0;0;0;0;0;5,72;3,9;5,11
twist (around);0;0;0;0;0;0;0;0;0;4,61;4,27;5,95
rise (move upwards);0;0;0;0;0;0;0;0;0;5,73;5,3;7,16
lift;5,5588350918241;4,12244361707674;5,65726661768155;5,57379772325317;4,09743692907368;5,63928648873555;5,51930291662175;4,13188125277236;5,59398262991817;NA;NA;NA
fall;0;0;0;0;0;0;0;0;0;3,89;4,24;3,83
drip (emit liquid);4,73064516129032;3,97655913978495;4,85193548387097;4,72472222222222;3,92444444444444;4,80305555555556;4,728;3,93;4,814;NA;NA;NA
throw;0;0;0;0;0;0;0;0;0;5,55;4,52;6,12
shake;0;0;0;0;0;0;0;0;0;4,59;5,2;6,37
flow;0;0;0;0;0;0;0;0;0;5,68;3,71;5,4
sink (descend);0;0;0;0;0;0;0;0;0;4,62;3,7;4,1
float;6,60351515151515;4,9849696969697;6,24909090909091;6,54121951219512;4,81634146341463;6,09951219512195;6,51833333333333;4,40166666666667;5,89166666666667;NA;NA;NA
swim;0;0;0;0;0;0;0;0;0;6,71;6,05;6,47
sail;0;0;0;0;0;0;0;0;0;6,84;3,74;6,37
blow (of wind);0;0;0;0;0;0;0;0;0;6,1;4,48;5
kneel;0;0;0;0;0;0;0;0;0;4;3,18;4,88
crouch;0;0;0;0;0;0;0;0;0;4,79;4,05;4,87
jump;0;0;0;0;0;0;0;0;0;6,44;5,14;5,72
kick;0;0;0;0;0;0;0;0;0;4,55;5,1;5,1
walk;0;0;0;0;0;0;0;0;0;6,77;3,24;5,83
limp;3,2;2,74;3,45;3,2;2,74;3,45;3,2;2,74;3,45;NA;NA;NA
run;0;0;0;0;0;0;0;0;0;6,41;5,24;5,44
go;0;0;0;0;0;0;0;0;0;6,32;4,86;5,33
go up (ascend);5,69874947465486;4,51177914688499;6,12209945474944;5,72067104699147;4,51854974665383;5,99496165618112;5,69711069932758;4,46023026397153;5,66527444736283;NA;NA;NA
climb;0;0;0;0;0;0;0;0;0;5,62;3,95;5,61
go out;5,8512325588329;4,32722507208281;5,8098308786741;5,82204769629613;4,24608920170131;5,77358837707085;5,8681240233332;4,27283948566568;5,9014636634982;NA;NA;NA
come;0;0;0;0;0;0;0;0;0;5,64;3,57;5,94
