Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
youngster;0;0;0;0;0;0;0;0;0;0,796;0,557;0,661
adore;0,813119398135826;0,512401961485024;0,65083636237851;0,797708432584654;0,483027032612641;0,632593426025603;0,787677555049562;0,472169706219629;0,633887747097991;NA;NA;NA
job;0;0;0;0;0;0;0;0;0;0,694;0,541;0,717
woman;0;0;0;0;0;0;0;0;0;0,865;0,5;0,578
of;0,586079846619902;0,402428294245956;0,50434703707712;0,577669479108653;0,400911766860166;0,500014301962754;0,578622385189868;0,403557838072468;0,500900407139317;NA;NA;NA
for;0,535642372032053;0,410142408050905;0,481268101791459;0,526592149521106;0,412011935925612;0,473321851474763;0,531028419416889;0,413192701492905;0,476505321336897;NA;NA;NA
to;0,554126600223438;0,409655245683194;0,494523847474056;0,542466315877247;0,41093865593946;0,487623398166922;0,540211303511244;0,409703411950406;0,488625555025673;NA;NA;NA
widow;0;0;0;0;0;0;0;0;0;0,25;0,45;0,265
entire;0;0;0;0;0;0;0;0;0;0,689;0,462;0,698
overall;0;0;0;0;0;0;0;0;0;0,583;0,37;0,67
okay;0,769881727972085;0,396263779480594;0,634694090652121;0,715788487073425;0,413675046282915;0,630771799710998;0,690076593317999;0,420187891308461;0,622374075582477;NA;NA;NA
us;0,508312207194475;0,354710990148109;0,403395845008529;0,474467284245257;0,420653241538224;0,446935761915233;0,554133727719921;0,35838166129133;0,433532196494276;NA;NA;NA
salary;0;0;0;0;0;0;0;0;0;0,786;0,48;0,652
landscape;0;0;0;0;0;0;0;0;0;0,719;0,176;0,423
vase;0;0;0;0;0;0;0;0;0;0,638;0,225;0,215
jug;0;0;0;0;0;0;0;0;0;0,52;0,25;0,213
box;0;0;0;0;0;0;0;0;0;0,5;0,179;0,312
container;0;0;0;0;0;0;0;0;0;0,551;0,396;0,561
until;0,549924856120859;0,391372968167453;0,479735040957006;0,534807330160932;0,396735333301071;0,469823555321723;0,535305792501475;0,40243599677579;0,47185687275374;NA;NA;NA
till;0;0;0;0;0;0;0;0;0;0,49;0,327;0,319
timber;0,495907580953557;0,398830477621902;0,462511146504469;0,517573194978981;0,37389967252384;0,459341629366028;0,515427688600145;0,34355733674135;0,443120936155396;NA;NA;NA
tree;0,52757884165298;0,365191479754169;0,472063095467907;0,539368697594379;0,344962492427295;0,468446165092005;0,53940314722723;0,332924929511464;0,459519841266715;NA;NA;NA
post;0;0;0;0;0;0;0;0;0;0,52;0,426;0,548
stanchion;0,513304275586108;0,400445543776595;0,497030342641634;0,546330785144648;0,358400096384056;0,527405412797765;0,547210351550457;0,360534422199952;0,528967980887609;NA;NA;NA
rail;0,459852302601476;0,446739785274517;0,462581255913682;0,471071510288272;0,447254832671731;0,470803994458057;0,455373071297405;0,459661833032974;0,464911217279473;NA;NA;NA
city;0;0;0;0;0;0;0;0;0;0,847;0,531;0,508
climax;0;0;0;0;0;0;0;0;0;0,735;0,853;0,667
season;0;0;0;0;0;0;0;0;0;0,792;0,41;0,519
period of time;0,5;0,306;0,5985;0,465333333333333;0,312;0,595;0,5;0,306;0,5985;NA;NA;NA
time;0;0;0;0;0;0;0;0;0;0,604;0,288;0,609
that;0,588395927195271;0,398153110196034;0,501036340066193;0,580779427527979;0,39926818032811;0,491096373499863;0,583270388167474;0,398737124295546;0,492445371301668;NA;NA;NA
article;0;0;0;0;0;0;0;0;0;0,594;0,28;0,481
object;0;0;0;0;0;0;0;0;0;0,531;0,356;0,375
their;0,594194868990214;0,402706430483195;0,514247131320832;0,585427807685871;0,395359799374232;0,503895569859563;0,588580747212777;0,398821126295568;0,508289956520931;NA;NA;NA
there;0,607736975056148;0,393720989736907;0,481154137659018;0,598797448539988;0,395295347275448;0,476365267208606;0,599415743006385;0,397281075639927;0,480932821408751;NA;NA;NA
robbery;0;0;0;0;0;0;0;0;0;0,133;0,843;0,435
instructor;0,703818138969356;0,447365628903041;0,811339985309312;0,685557277777507;0,467251571976099;0,802944384910142;0,684227992710254;0,467084741334188;0,791743582968574;NA;NA;NA
gentle;0;0;0;0;0;0;0;0;0;0,847;0,353;0,589
soft;0,676116277615892;0,336968262663617;0,43865400304219;0,650431541296427;0,3453831389522;0,421815032533377;0,655917468351962;0,338632456551277;0,419341235057629;NA;NA;NA
guest;0,553458627314236;0,464880950397243;0,531450285444818;0,535400670493458;0,456737282544812;0,537950765104742;0,536004204114717;0,463838771198026;0,530959363989226;NA;NA;NA
foreigner;0,387;0,581357142857143;0,394535714285714;0,383;0,590714285714286;0,394428571428571;0,40675;0,602;0,39325;NA;NA;NA
station;0,584865378531952;0,384690642168663;0,528876623284669;0,574294406628856;0,373666836720978;0,527092145199589;0,574364226651418;0,37357174866371;0,526203802327958;NA;NA;NA
not yet;0,689378641991149;0,253828584195126;0,433103443452558;0,687933434783139;0,256864093962658;0,441100756685891;0,681697756219001;0,255576428948208;0,437856028122947;NA;NA;NA
condition;0;0;0;0;0;0;0;0;0;0,5;0,469;0,519
ladder;0;0;0;0;0;0;0;0;0;0,56;0,438;0,358
sound;0;0;0;0;0;0;0;0;0;0,765;0,623;0,398
sadness;0,149298366232899;0,627680727288513;0,400769392853013;0,154207398563276;0,626181083535334;0,391906849700214;0,153443568626583;0,619572759248641;0,371953695114472;NA;NA;NA
sore;0,298669200923998;0,641492737647755;0,379417078119154;0,328377961846128;0,637911365960134;0,390998725425691;0,341459830327037;0,632563537160736;0,395381696222591;NA;NA;NA
ground;0;0;0;0;0;0;0;0;0;0,398;0,343;0,602
smooth;0,651683800369701;0,297671118593111;0,455403525145222;0,66875713379263;0,286818039255218;0,455769893185384;0,672961950732113;0,286996045924264;0,457481812052102;NA;NA;NA
little;0;0;0;0;0;0;0;0;0;0,385;0,16;0,213
leather;0;0;0;0;0;0;0;0;0;0,51;0,324;0,341
sit;0;0;0;0;0;0;0;0;0;0,561;0,23;0,368
fit;0;0;0;0;0;0;0;0;0;0,604;0,45;0,632
short-cut;0,594;0,308;0,426;0,594;0,308;0,426;0,594;0,308;0,426;NA;NA;NA
shop;0;0;0;0;0;0;0;0;0;0,725;0,632;0,565
boutique;0;0;0;0;0;0;0;0;0;0,745;0,49;0,441
