Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
youngster;0;0;0;0;0;0;0;0;0;6,05;4,55;5
adore;0;0;0;0;0;0;0;0;0;7,37;5,96;6,26
job;0;0;0;0;0;0;0;0;0;5,64;4;4,44
woman;0;0;0;0;0;0;0;0;0;7,09;3,8;5,93
of;5,62933296241626;3,86601366883076;5,43927687095809;5,58648397848071;3,82701580585015;5,48931204328049;5,60534676091282;3,85381631694707;5,47309639182326;NA;NA;NA
for;5,46989279781028;3,81793457961456;5,43627178553475;5,443915437383;3,82210295756776;5,45442609719031;5,45845682650239;3,82590215362339;5,46175594377536;NA;NA;NA
to;5,51231462902758;3,82824890711865;5,50780134532076;5,47266102578648;3,84017167790755;5,50692895461896;5,47535125499394;3,84786248520553;5,51022438041506;NA;NA;NA
widow;0;0;0;0;0;0;0;0;0;2,28;3,5;4,12
entire;0;0;0;0;0;0;0;0;0;5,67;2,85;5,06
overall;0;0;0;0;0;0;0;0;0;5,17;2,95;4,81
okay;6,56019912169158;3,81188835070731;6,21816137178546;6,24622779322359;3,9356649439847;6,15482664683668;6,16869503921008;4,02860804613025;6,04345702376552;NA;NA;NA
us;5,45310996118402;3,89366765333209;5,10011401386773;5,24742167853991;4,04735375735233;4,84420836303723;5,50845947114136;3,88432443691661;5,15805167270512;NA;NA;NA
salary;0;0;0;0;0;0;0;0;0;6,42;4,86;5,05
landscape;0;0;0;0;0;0;0;0;0;7;3,75;5
vase;0;0;0;0;0;0;0;0;0;5,77;3,57;6,11
jug;0;0;0;0;0;0;0;0;0;5,45;3,73;5,45
box;5,36262621278773;3,86801034057745;5,46640582401056;5,20279731680403;3,88164512030598;5,49002097937486;5,27028110790306;3,94698169481773;5,51386594621855;NA;NA;NA
container;5,37541430162705;3,65891559779004;5,38756044673303;5,34170920410234;3,59817750196166;5,35888657313853;5,32352110539144;3,72169422347901;5,4047748799528;NA;NA;NA
until;5,44298963369953;3,87080169445896;5,53728753961366;5,41758426501167;3,86366704976511;5,50811461278005;5,42814874034852;3,8799374117592;5,507109846143;NA;NA;NA
till;5,53708039900402;4,132019895324;5,56876556351333;5,4472821587249;3,9785459211231;5,52582407317931;5,45020389474128;4,00242247613659;5,53149929998381;NA;NA;NA
timber;0;0;0;0;0;0;0;0;0;4,9;3,73;5,37
tree;0;0;0;0;0;0;0;0;0;7,59;2,67;5,62
post;0;0;0;0;0;0;0;0;0;5,05;3,58;6,32
stanchion;5,26785666434772;3,38196301618673;5,37380373828987;5,53055174384886;3,41436009535018;5,41865112808818;5,42597843822213;3,43108706961025;5,3960883392856;NA;NA;NA
rail;4,82159279389331;3,88873098227758;5,12821059718069;4,91494727410415;3,88287447467631;5,15254149826104;4,80325376931154;3,90757862511934;5,09546861145403;NA;NA;NA
city;0;0;0;0;0;0;0;0;0;6,12;5,08;5,04
climax;5,54011854666852;3,90240840000247;5,15189959525358;5,51539186671006;3,93861866228331;5,1399494083423;5,55950802393913;3,91067039981892;5,18080325186416;NA;NA;NA
season;0;0;0;0;0;0;0;0;0;6,71;3,2;6,16
period of time;5,51169816356335;3,4197012957273;4,77019133475897;5,51228586679308;3,4867945939964;4,98903498363239;5,5397037411641;3,45817962919961;4,82766773029618;NA;NA;NA
time;0;0;0;0;0;0;0;0;0;5,6;3,41;4,36
that;5,68853412180421;3,78174284461435;5,59914967920475;5,64329921310373;3,81548541234936;5,60222764154334;5,65737624241792;3,82672156273491;5,60285315797984;NA;NA;NA
article;0;0;0;0;0;0;0;0;0;5,68;3,5;5,68
object;0;0;0;0;0;0;0;0;0;5,52;4,08;5,91
their;5,76543256104954;3,55875281084718;5,56142365101678;5,73130940786718;3,56678028141944;5,57022775381019;5,75079593002987;3,55592290243846;5,56160338973253;NA;NA;NA
there;5,69151878793507;3,79053488342276;5,65245684587625;5,65628863274221;3,8043831762527;5,68929389766809;5,66880201463015;3,81894912195101;5,67466932193538;NA;NA;NA
robbery;0;0;0;0;0;0;0;0;0;2,76;6,32;2,67
instructor;0;0;0;0;0;0;0;0;0;6,15;5,05;5,81
gentle;6,54089420260275;3,82354899173042;6,10203377514605;6,41625748582904;3,64778336815823;6,11216732358117;6,43861230241094;3,65888233649208;6,12468127215229;NA;NA;NA
soft;6,13396034219275;3,66510282962319;5,76233781403049;5,89246492524114;3,62134840099749;5,64464259785264;5,93091055897918;3,62183749074976;5,6848018042128;NA;NA;NA
guest;0;0;0;0;0;0;0;0;0;6,14;4,15;6,95
foreigner;0;0;0;0;0;0;0;0;0;4,68;3,24;4,33
station;0;0;0;0;0;0;0;0;0;5,5;3;4,61
not yet;6,04905045844724;3,38330460909063;5,95004090567761;6,03768166263586;3,37127923529362;5,94049253094679;6,01411234887598;3,36706303578265;5,92704260898799;NA;NA;NA
condition;0;0;0;0;0;0;0;0;0;4,32;4,15;6,53
ladder;0;0;0;0;0;0;0;0;0;5,32;4,09;5,56
sound;5,71793231447912;4,18302938629226;5,87850394886882;5,78121955032091;4,12543391687112;5,87144491819405;5,81891581638759;4,07672892114267;5,88995770843692;NA;NA;NA
sadness;0;0;0;0;0;0;0;0;0;2,4;2,81;3,84
sore;0;0;0;0;0;0;0;0;0;2,8;4,06;3,92
ground;0;0;0;0;0;0;0;0;0;5,28;2,35;5,5
smooth;0;0;0;0;0;0;0;0;0;6,42;2,76;6,26
little;0;0;0;0;0;0;0;0;0;5,91;4,2;5,18
leather;6,37869340762173;4,21240325624815;6,11012877680641;6,36594874349553;4,18497201572;6,07051738112861;6,19777734390318;3,99088580403476;5,71760290844242;NA;NA;NA
sit;5,55099129630347;3,43083282582789;5,85707758396842;5,56019698267811;3,536868038442;5,63216034521826;5,55132574076663;3,52285061918439;5,67872706434156;NA;NA;NA
fit;5,48949318113835;4,04699774356838;5,54330451334114;5,55095132545782;3,99656128808908;5,61004780792057;5,61924776779043;3,99070807738132;5,6533506207879;NA;NA;NA
short-cut;4,95264122681585;3,71265319612134;5,28033333388306;4,9167644825381;3,64098334131774;5,33301896272575;4,90161175098779;3,6419987273091;5,26793080297162;NA;NA;NA
shop;0;0;0;0;0;0;0;0;0;5,89;4,76;5,72
boutique;0;0;0;0;0;0;0;0;0;6,1;4,33;5,88
it;5,71510369657895;3,7193525314834;5,60249427532221;5,67400928928435;3,74317252697899;5,59633150545645;5,69192755644657;3,76310689886862;5,59874835527073;NA;NA;NA
hot;0;0;0;0;0;0;0;0;0;5,73;4,76;5
boy;0;0;0;0;0;0;0;0;0;5,84;4,11;5,5
brain;0;0;0;0;0;0;0;0;0;6,22;3,35;6,28
intelligence;0;0;0;0;0;0;0;0;0;7,65;6,32;6,72
intellect;0;0;0;0;0;0;0;0;0;6,62;4,41;6,69
ocean;0;0;0;0;0;0;0;0;0;7,39;3,5;5,88
list;0;0;0;0;0;0;0;0;0;5,89;2,55;5,61
reason;0;0;0;0;0;0;0;0;0;6,27;3,33;6,11
cause;0;0;0;0;0;0;0;0;0;5,14;3,48;5,17
carpet;5;3,24;5,68;5;3,24;5,68;5;3,24;5,68;NA;NA;NA
chamber;0;0;0;0;0;0;0;0;0;4,73;4,58;5,5
means;5,28487519869103;3,84722732984594;5,62324502009925;5,51324256445576;3,83272348110974;5,74040989725024;5,49082039062592;3,88893202076542;5,73277463046371;NA;NA;NA
road;5,55015613147359;3,87421844236312;5,45167761401669;5,59073537000896;3,86332845732838;5,39219347753701;5,6145891167143;3,91353740326811;5,38688484231904;NA;NA;NA
method;0;0;0;0;0;0;0;0;0;5,2;4,17;6,13
right;6,0623681162462;3,97252886565501;6,01400860695926;6,02370171816468;3,95319652900396;5,97674889206537;6,030721059346;3,97075640057241;5,97954112469188;NA;NA;NA
rent;0;0;0;0;0;0;0;0;0;4,41;4,25;5,68
cousin;0;0;0;0;0;0;0;0;0;6,11;2,6;5,28
finished;6,10407342308488;3,70543277211424;6,05143152284957;6,01236134169441;3,77365635598435;5,98081844484168;6,09298146622098;3,76950790410053;6,07054800768507;NA;NA;NA
allowance;0;0;0;0;0;0;0;0;0;6,74;4,05;5,7
dispute;0;0;0;0;0;0;0;0;0;2,52;4,55;4,14
aim;0;0;0;0;0;0;0;0;0;5,95;4;6,5
pupil;0;0;0;0;0;0;0;0;0;5,53;3,76;5,17
advancement;0;0;0;0;0;0;0;0;0;7,47;5,81;6,38
advance;0;0;0;0;0;0;0;0;0;6,11;4,62;6,12
gain;0;0;0;0;0;0;0;0;0;5,9;4,33;6,82
produce;0;0;0;0;0;0;0;0;0;6,57;3,23;6,57
