Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
agreement;0;0;0;0;0;0;0;0;0;0,76;0,44;0,736
accident;0;0;0;0;0;0;0;0;0;0,125;0,908;0,336
accumulator;0,48;0,425;0,442;0,48;0,425;0,442;0,48;0,425;0,442;NA;NA;NA
acoustic level;0,508;0,667333333333333;0,706;0,507999999999908;0,667333333333213;0,705999999999872;0,508;0,667333333333333;0,706;NA;NA;NA
sound level;0,508;0,667333333333333;0,706;0,507999999999908;0,667333333333213;0,705999999999872;0,508;0,667333333333333;0,706;NA;NA;NA
noise level;0,508;0,667333333333333;0,706;0,507999999999908;0,667333333333213;0,705999999999872;0,508;0,667333333333333;0,706;NA;NA;NA
loudness;0;0;0;0;0;0;0;0;0;0,35;0,582;0,62
sound pressure level;0,508;0,667333333333333;0,706;0,507999999999908;0,667333333333213;0,705999999999872;0,508;0,667333333333333;0,706;NA;NA;NA
intensity;0;0;0;0;0;0;0;0;0;0,622;0,93;0,952
acoustic;0,611;0,33;0,509;0,611;0,33;0,509;0,611;0,33;0,509;NA;NA;NA
deed;0;0;0;0;0;0;0;0;0;0,52;0,32;0,592
management;0,301098870056497;0,520923728813559;0,482202683615819;0,349953271028036;0,503672897196261;0,514794392523363;0,460777777777776;0,463666666666666;0,59485185185185;NA;NA;NA
advertisement;0;0;0;0;0;0;0;0;0;0,6;0,566;0,539
advice;0,696556497175141;0,376313559322034;0,55849081920904;0,675037383177569;0,38726168224299;0,572364485981307;0,699888888888888;0,378333333333332;0,582259259259258;NA;NA;NA
agricultural pest;0,188;0,68;0,452;0,188;0,68;0,452;0,188;0,68;0,452;NA;NA;NA
agriculture;0;0;0;0;0;0;0;0;0;0,64;0,357;0,465
air;0,634105426516391;0,370415798464295;0,467323046415586;0,617616963486817;0,379250483246046;0,480447536152199;0,61289922791161;0,398803259616376;0,442087023464518;NA;NA;NA
