Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
agreement;0;0;0;0;0;0;0;0;0;6,75;4,05;6,48
accident;2,53666666666667;5,88333333333333;3,37666666666667;2,206;6,07;3,214;2,94999999999961;5,64999999999926;3,57999999999953;NA;NA;NA
accumulator;5,32999999999999;3,32999999999999;5,85999999999999;5,33;3,33;5,86;5,33;3,33;5,86;NA;NA;NA
acoustic level;5,22101604278075;5,99028520499109;5,68117647058823;5,22055555555529;6,00601851851822;5,67611111111082;5,22035294117647;6,01294117647059;5,67388235294118;NA;NA;NA
sound level;5,22101604278075;5,99028520499109;5,68117647058823;5,22055555555529;6,00601851851822;5,67611111111082;5,22035294117647;6,01294117647059;5,67388235294118;NA;NA;NA
noise level;5,22101604278075;5,99028520499109;5,68117647058823;5,22055555555529;6,00601851851822;5,67611111111082;5,22035294117647;6,01294117647059;5,67388235294118;NA;NA;NA
loudness;5,22304812834225;5,92085561497326;5,70352941176471;5,22166666666658;5,96805555555545;5,68833333333324;5,22105882352941;5,98882352941176;5,68164705882353;NA;NA;NA
sound pressure level;5,22101604278075;5,99028520499109;5,68117647058823;5,22055555555529;6,00601851851822;5,67611111111082;5,22035294117647;6,01294117647059;5,67388235294118;NA;NA;NA
intensity;0;0;0;0;0;0;0;0;0;5,19;7,05;5,34
acoustic;0;0;0;0;0;0;0;0;0;7,1;4;5,79
deed;0;0;0;0;0;0;0;0;0;5,89;3;5,92
management;0;0;0;0;0;0;0;0;0;4,95;3,24;4,7
advertisement;0;0;0;0;0;0;0;0;0;4,3;4,14;5,84
advice;0;0;0;0;0;0;0;0;0;5,78;3,05;5,83
agricultural pest;2,42;6,67;2,96;2,42;6,67;2,96;2,42;6,67;2,96;NA;NA;NA
agriculture;0;0;0;0;0;0;0;0;0;6,1;3,05;6
air;0;0;0;0;0;0;0;0;0;6,71;3,25;5,72
aircraft;0;0;0;0;0;0;0;0;0;6,3;4,86;5,71
alarm;0;0;0;0;0;0;0;0;0;3,86;6,85;6,58
analysis;4,44;4,3;4,06;4,44;4,3;4,06;4,43999999999988;4,29999999999988;4,05999999999989;NA;NA;NA
animal husbandry;5,39657894736841;3,96513157894736;5,47473684210525;5,29536231884057;4,07917874396134;5,39555555555554;5,32647058823529;3,97617647058823;5,40235294117647;NA;NA;NA
animal manure;3,19;4,15;4,51;3,19;4,15;4,51;3,19;4,15;4,51;NA;NA;NA
nursery;0;0;0;0;0;0;0;0;0;6,1;4,29;4,89
plant nursery;6,09090909090909;4,11909090909091;4,82636363636364;6,08571428571424;4,02142857142854;4,78999999999997;6,07999999999568;3,91399999999709;4,74999999999658;NA;NA;NA
distribution area;5,81015111865813;3,31744226266543;5,83461241411533;5,65372580645161;3,41533356965615;5,93037504431053;5,73383390627827;3,25520535552741;5,83089198480188;NA;NA;NA
ambit;5,81015111865813;3,31744226266543;5,83461241411533;5,65372580645161;3,41533356965615;5,93037504431053;5,73383390627827;3,25520535552741;5,83089198480188;NA;NA;NA
artificial lake;5,37;3,22;5;5,37;3,22;5;5,37;3,22;5;NA;NA;NA
public house;5,25;4,28906976744186;4,92081395348837;5,09117647058609;4,30823529411569;4,86323529411551;5,16111111111111;4,27666666666667;4,86777777777778;NA;NA;NA
pub;5,25;4,28906976744186;4,92081395348837;5,09117647058609;4,30823529411569;4,86323529411551;5,16111111111111;4,27666666666667;4,86777777777778;NA;NA;NA
beer parlour;5,25;4,28906976744186;4,92081395348837;5,09117647058609;4,30823529411569;4,86323529411551;5,16111111111111;4,27666666666667;4,86777777777778;NA;NA;NA
free-base;5,6406373599209;2,9083713744232;5,9985147495056;5,64561097256858;2,95915211970075;6,05004987531172;5,63469273743017;2,92079453755431;6,0133147113594;NA;NA;NA
establish;5,94358005108767;3,22286235168095;6,08776594429796;5,9198753117207;3,27490773067332;6,16288778054863;5,91033519553073;3,21529484792055;6,09880819366853;NA;NA;NA
found;5,65896938859591;2,96062314601187;6,03629305372446;5,70256857855362;3,11170074812968;6,16731172069825;5,66843575418994;3,01788330229671;6,08445065176909;NA;NA;NA
freebase;5,6406373599209;2,9083713744232;5,9985147495056;5,64561097256858;2,95915211970075;6,05004987531172;5,63469273743017;2,92079453755431;6,0133147113594;NA;NA;NA
base;0;0;0;0;0;0;0;0;0;5,68;3,1;6,37
basis;0;0;0;0;0;0;0;0;0;5,42;2,68;5,18
battery;5,32999999999999;3,32999999999999;5,85999999999999;5,33;3,33;5,86;5,33;3,33;5,86;NA;NA;NA
bay;0;0;0;0;0;0;0;0;0;7,23;3,26;4,86
beach;0;0;0;0;0;0;0;0;0;7,21;5,1;5,7
plague;0;0;0;0;0;0;0;0;0;2,42;6,67;2,96
oppress;2,3196;5,1108;3,166;2,3196;5,1108;3,166;2,3196;5,1108;3,166;NA;NA;NA
beef cattle;5,42;2,64;4,74;5,42;2,64;4,74;5,42;2,64;4,74;NA;NA;NA
bee;0;0;0;0;0;0;0;0;0;3,68;5,65;5,32
beetle;0;0;0;0;0;0;0;0;0;4,2;4,45;5,93
bearing;5,72423728813559;3,32694915254237;5,85881355932203;5,61454545454545;3,30545454545455;5,87954545454545;5,60636363636364;3,37909090909091;5,91090909090909;NA;NA;NA
comportment;5,27474576271186;3,50898305084746;5,89627118644068;5,23818181818182;3,50181818181818;5,90318181818182;5,23545454545455;3,52636363636364;5,91363636363636;NA;NA;NA
bicycle;5,84818181818182;4,06818181818182;5,94318181818182;5,83837837837837;4,08108108108107;5,90216216216215;5,87999999999998;4,01333333333332;5,95333333333332;NA;NA;NA
bike;0;0;0;0;0;0;0;0;0;6,1;3,62;5,89
cycle;0;0;0;0;0;0;0;0;0;5,64;4,42;5,81
black coal;4,56;2,55;4,88;4,56;2,55;4,88;4,56;2,55;4,88;NA;NA;NA
blood;5,42728395061728;3,79012345679012;4,57185185185185;5,53;3,7525;4,65;5,53;3,7525;4,65;NA;NA;NA
boiler;0;0;0;0;0;0;0;0;0;4,47;3,23;5,08
book;5,2465;4,5275;5,736;5,31142857142822;4,47714285714256;5,68714285714248;5,35749999501044;4,08499999619555;5,45249999492196;NA;NA;NA
accounting;0;0;0;0;0;0;0;0;0;4,42;3,68;4,48
accountancy;4,42;3,68;4,48;4,42;3,68;4,48;4,42;3,68;4,48;NA;NA;NA
border;0;0;0;0;0;0;0;0;0;4,68;4,3;4,74
crevice;0;0;0;0;0;0;0;0;0;4,67;4,58;4,62
anal cleft;4,55126612052883;4,43788263443913;4,56349541730878;4,54578114401989;4,44139498078227;4,56513226316979;4,54578114401989;4,44139498078227;4,56513226316979;NA;NA;NA
butt-crack;4,55126612052883;4,43788263443913;4,56349541730878;4,54578114401989;4,44139498078227;4,56513226316979;4,54578114401989;4,44139498078227;4,56513226316979;NA;NA;NA
butt crack;4,55126612052883;4,43788263443913;4,56349541730878;4,54578114401989;4,44139498078227;4,56513226316979;4,54578114401989;4,44139498078227;4,56513226316979;NA;NA;NA
buttcrack;4,55126612052883;4,43788263443913;4,56349541730878;4,54578114401989;4,44139498078227;4,56513226316979;4,54578114401989;4,44139498078227;4,56513226316979;NA;NA;NA
boron;0;0;0;0;0;0;0;0;0;4,1;2,91;5,28
botanical;0;0;0;0;0;0;0;0;0;5,77;3,25;5,73
botanic;5,69666666666667;3,16666666666667;5,42333333333333;5,69666666666667;3,16666666666667;5,42333333333333;5,69666666666667;3,16666666666667;5,42333333333333;NA;NA;NA
sovereign state;5,74633308867499;4,05842972930095;5,45496203727756;5,75477419354839;4,09095214462956;5,44705352711804;5,63765514745793;3,99113443097521;5,5825927266148;NA;NA;NA
nation;0;0;0;0;0;0;0;0;0;6;4,78;4,74
brook;0;0;0;0;0;0;0;0;0;7;3,33;6,08
drake;0;0;0;0;0;0;0;0;0;5,05;4,32;5,21
marsh;4,95;3,95;5,28;4,95;3,95;5,28;4,95;3,95;5,28;NA;NA;NA
bog;0;0;0;0;0;0;0;0;0;3,57;3,68;5
belly;0;0;0;0;0;0;0;0;0;4,37;3,75;4,96
stomach;0;0;0;0;0;0;0;0;0;4,53;3,76;5,4
bedbug;3,525;5,899;4,265;3,56538461538462;5,81230769230769;4,36461538461538;3,575;5,79166666666667;4,38833333333333;NA;NA;NA
bug;0;0;0;0;0;0;0;0;0;3,45;6,06;4,08
hemipterous insect;3,6;5,738;4,45;3,68076923076923;5,56461538461538;4,64923076923077;3,7;5,52333333333333;4,69666666666667;NA;NA;NA
building;0;0;0;0;0;0;0;0;0;5,47;3,35;6
business;0;0;0;0;0;0;0;0;0;5,48;3,71;5,35
cable;0;0;0;0;0;0;0;0;0;5,9;3,52;5,79
costly;0;0;0;0;0;0;0;0;0;3;4,08;4,68
expensive;0;0;0;0;0;0;0;0;0;3,36;6,1;6,21
carbon;0;0;0;0;0;0;0;0;0;4,5;4,05;5,05
cartography;5,82867354737683;3,73447801263581;5,93211619163561;5,80229434006593;3,74629110568041;5,91606166804301;5,80658560669517;3,73549993706421;5,91025920648381;NA;NA;NA
catastrophe;0;0;0;0;0;0;0;0;0;2,7;5,64;2,5
catchment area;5,354;3,612;5,064;5,35666666666597;3,54666666666621;5,05333333333267;5,34999999999977;3,70999999999984;5,07999999999978;NA;NA;NA
basin;5,354;3,612;5,064;5,35666666666645;3,54666666666653;5,05333333333313;5,3499999999999;3,70999999999993;5,07999999999991;NA;NA;NA
basement;0;0;0;0;0;0;0;0;0;4,81;3,33;5,26
cell;5,62700840830058;3,33574065153516;6,45764228668329;5,68630372492837;3,34501432664756;6,54194842406877;5,60857142857143;3,33285714285714;6,43142857142857;NA;NA;NA
ceramics;5,79;2,75;6;5,78999999579848;2,74999999800446;5,9999999956461;5,78999999579848;2,74999999800446;5,9999999956461;NA;NA;NA
crockery;5,79;2,75;6;5,7899999960104;2,74999999810511;5,9999999958657;5,7899999960104;2,74999999810511;5,9999999958657;NA;NA;NA
earthenware;5,79;2,75;6;5,78999999622232;2,74999999820576;5,9999999960853;5,78999999622232;2,74999999820576;5,9999999960853;NA;NA;NA
board;0;0;0;0;0;0;0;0;0;5,33;3,52;5,37
circuit board;5,624;3,182;5,352;5,655;3,31;5,425;5,655;3,31;5,425;NA;NA;NA
circuit card;5,624;3,182;5,352;5,655;3,31;5,425;5,655;3,31;5,425;NA;NA;NA
map;0;0;0;0;0;0;0;0;0;5,81;3,95;5,79
child;0;0;0;0;0;0;0;0;0;7,2;5,33;5,2
boy;0;0;0;0;0;0;0;0;0;5,84;4,11;5,5
chimney;0;0;0;0;0;0;0;0;0;4,89;2,45;5,19
pipe;0;0;0;0;0;0;0;0;0;4,75;4,11;5,92
church;0;0;0;0;0;0;0;0;0;5,21;3,63;5,04
church building;5,3;3,36;5,84;5,3;3,36;5,84;5,3;3,36;5,84;NA;NA;NA
city;5,455;3,4775;4,8075;5,54714285714285;3,42714285714285;4,85999999999999;5,24;3,595;4,685;NA;NA;NA
classification;0;0;0;0;0;0;0;0;0;4,77;3,45;5,74
cleanser;0;0;0;0;0;0;0;0;0;6,4;3,61;6,24
apparel;0;0;0;0;0;0;0;0;0;5,38;4,3;6,19
clothing;0;0;0;0;0;0;0;0;0;6,37;4,44;6,72
clothes;0;0;0;0;0;0;0;0;0;6,77;3,14;5,47
garments;6,30567307692308;4,07346153846154;6,17519230769231;6,14857142856736;4,07142857142566;6,19428571428137;6,17736842105254;4,03999999999994;6,16684210526306;NA;NA;NA
dress;0;0;0;0;0;0;0;0;0;6,42;4,73;6,64
attire;0;0;0;0;0;0;0;0;0;6,16;3,95;5,78
garment;0;0;0;0;0;0;0;0;0;5,57;3,5;5,84
